category_super_group_ID,category_super_group,category_group_ID,saveframe_category,category_group,mandatory_code,BMRB mandatory,mandatory_number,ADIT replicable,allowed_user_defined_framecode,specified_framecode,tag category requirements,validateFlgs,,,,,,viewFlags,,,,,,NMR-STAR ordinal,rdbms_name,category_group_view_name,group_view_help,mandatory_code,BMRB mandatory,mandatory_number,ADIT replicable,allowed_user_defined_framecode,viewFlags,category_group_view_name,group_view_help,mandatory_code,BMRB mandatory,mandatory_number,ADIT replicable,allowed_user_defined_framecode,viewFlags,category_group_view_name,group_view_help
,-------------------------------,----------------,--------------,------------------------------,-----------,S=SG mandatory; M=mandatory; H=hidden; MC=mandatory conditional; O=optional,---------, -----------,---------,-------,,BMRB biopolymer public release,BMRB small molecule structure public release,biopolymer internal valid meta data,small molecule structure internal valid meta data,BMRB metabolomics public release,metabolomics internal valid meta data,public,internal,meta,sg/public,sg/internal,usr/public,-----------,-----------,-----------, ------------,-----------,S=SG mandatory; M=mandatory; H=hidden; MC=mandatory conditional; O=optional,---------, -----------,---------,public, ------------, ------------,-----------,S=SG mandatory; M=mandatory; H=hidden; MC=mandatory conditional; O=optional,---------, -----------,---------,public, ------------, ------------
TBL_BEGIN,,,,,,,,,,,,validate,public,,internal,public,internal,viewFlags,,,,,,,,,,,,,,?,viewFlags,,?,,,,,,viewFlags,,?
1,entry_information,20,entry_information,entry_information,Y,M,1,,N,entry_information,Data_set and Entry_author and Release,,,,M,,,N,H,H,,,H,,,,,Y,M,,,N,,,,,,,,,,,?
2,citations,40,citations,citations,Y,M,1,,Y,,Citation_author,,,,M,,,N,H,H,,,H,,,,,Y,M,,,Y,,,,,,,,,,,?
2,citations,42,references,references,N,O,,,N,references,,,,,O,,,N,H,H,,,H,,,,,Y,O,,,N,,,,,,,,,,,?
3,molecular_assembly,50,chem_comp,chem_comp,N,MC,,,Y,,,,,,O,,,H,H,H,,,H,,,,,Y,M,,,Y,,,,,,,,,,,?
3,molecular_assembly,60,entity,entity,Y,M,1,,Y,,Entity_comp_index,,,,M,,,N,H,H,,,H,,,,,H,O,,,Y,,,,,,,,,,,?
3,molecular_assembly,70,assembly,assembly,Y,M,1,,Y,,Entity_assembly,,,,M,,,N,H,H,,,H,,,,,H,O,,,Y,,,,,,,,,,,?
4,experimental_details,130,sample,sample,Y,M,,,Y,,Sample_component,,,,M,,,N,H,H,,,H,,,,,Y,M,,,Y,,,,,,,,,,,?
4,experimental_details,140,sample_conditions,sample_conditions,Y,M,,,Y,,Sample_condition_variable,,,,M,,,N,H,H,,,H,,,,,Y,M,,,Y,,,,,,,,,,,?
4,experimental_details,142,software,software,N,S,,,Y,,,,,,O,,,N,H,H,,,H,,,,,N,S,,,Y,,,,,,,,,,,?
4,experimental_details,144,computing_platform,computing_platform,N,O,,,Y,,,,,,O,,,H,H,H,,,H,,,,,N,O,,,Y,,,,,,,,,,,?
4,experimental_details,155,NMR_spectrometer,NMR_spectrometer,N,S,,,Y,,,,,,O,,,H,H,H,,,H,,,,,N,S,,,Y,,,,,,,,,,,?
4,experimental_details,158,experiment_list,experiment_list,N,MC,,,N,experiment_list,Experiment,,,,M,,,N,H,H,,,H,,,,,N,M,,,N,,,,,,,,,,,?
4,experimental_details,159,NMR_spectrometer_expt,NMR_spectrometer_expt,N,S,,,Y,,,,,,M,,,N,H,H,,,H,,,,,N,O,,,Y,,,,,,,,,,,?
5,NMR_parameters,168,chem_shift_reference,chem_shift_reference,N,MC,,,Y,,Chem_shift_ref,,,,O,,,H,H,H,,,H,,,,,N,MC,,,Y,,,,,,,,,,,?
5,NMR_parameters,170,assigned_chemical_shifts,assigned_chemical_shifts,N,MC,,,Y,,Atom_chem_shift,,,,O,,,H,H,H,,,H,,,,,N,MC,,,Y,,,,,,,,,,,?
5,NMR_parameters,174,spectral_peak_list,spectral_peak_list,N,MC,,,Y,,Spectral_peak_list,,,,O,,,H,H,H,,,H,,,,,N,MC,,,Y,,,,,,,,,,,?
6,structure,180,molecular_modeling_file_set,molecular_modeling_file_set,N,O,,,Y,,Molecular_modeling_param_file_list,,,,O,,,H,H,H,,,H,,,,,N,MC,,,Y,,,,,,,,,,,?
TBL_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
