category type,category,Description
,?,?
super_group,entry_information,The entry_information category super group captures general information describing the entry$ any study that the entry is a member$ and information regarding the processing of the entry and updates to the entry after its initial release to the public.
super_group,citations,Citations referenced in the entry and the primary citation related to this specific entry.
super_group,molecular_assembly,The molecular_assembly super_group contains the complete chemical description of the molecular assembly studied$ additional reference information for the molecular assembly and its components$ and links to information for the equivalent or similar molecular assemblies or biopolymer components in other databases.
super_group,experimental_details,The experimental_details category super group captures information about the samples$ sample conditions$ NMR spectrometers$ NMR experiments and other data regarding the experiments used to collect the NMR spectral data and to derive kinetic$ thermodynamic$ and structure information.
super_group,NMR_parameters,The NMR_parameters super group contains the category groups used to model NMR spectral parameters or theoretically calculated parameters like chemical shifts and links to supporting information.
super_group,structure,The structure category super group captures atomic coordinates$ constraints$ statistical data$ and other related information.
category_group,entry_information,"General information about the entry; e.g. title$ authors$, history$, etc."
category_group,citations,Categories that provide bibliographic information for the citation for the entry.
category_group,references,Categories that provide bibliographic information that is referential.
category_group,chem_comp,Categories that describe chemical components of entities and molecular assemblies.
category_group,entity,Categories that describe the molecules that make up a molecular assembly.
category_group,assembly,Categories that describe a molecular assembly.
category_group,sample,Categories that describe the contents and other details about the samples used in scientific experiments.
category_group,sample_conditions,Categories that describe the experimental conditions used in conducting individual scientific experiments.
category_group,software,Categories that describe computer software.
category_group,NMR_spectrometer,Categories that describe an NMR spectrometer.
category_group,experiment_list,Categories that describe a list of experiments.
category_group,computing_platform,Categories that describe a computer or computing facility or platform that involves high performance or high throughput computing.
category_group,molecular_modeling_file_set,Categories that describe a set of files generated to model the structure and other characteristics of a small molecule.
category_group,chem_shift_reference,Categories that capture information about the compounds and parameters used to reference NMR chemical shifts.
category_group,assigned_chemical_shifts,Categories that capture assigned chemical shift values and links to the samples$ sample conditions$ NMR experiments$ and other information about how the assigned chemical shifts were derived.
category_group,spectral_peak_list,Categories that capture the properties of NMR spectral peaks$ spectral parameters$ and links to the NMR experiments and other information regarding the data.
item_category,Entry,Items in the entry category describe an entry.
item_category,Entry_experimental_methods,Items in the entry_experimental_methods list and describe the experimental techniques used to collect the data in the entry.
item_category,Entry_author,Items in the entry_author category define the names of the authors of an entry.
item_category,Entry_src,Items in the entry_src category describe the organization that is the source of the data in an entry.
item_category,Info_src,Items in the info_src category define the sources mined to obtain information contained in the entry.
item_category,Data_set,Items in the data_set category define the kinds of data and the number of data sets for each kind of data in the entry.
item_category,Datum,Items in the datum category define the types of datum in the entry and the quantity of each type.
item_category,Release,Items in the release category provide the release history for an entry.
item_category,Auxiliary_files,Items in the auxiliary_files category provide information on a list of files available from BMRB that contain information directly related to the entry (e.g. validation reports$ software scripts$ data in the original format$ and others).
item_category,Citation,Items in the citation category capture information common to all citations.
item_category,Citation_author,Items in the citation_author category define the authors and the order of the names for a citation.
item_category,Reference_list,Items in the reference_list category define the reference object.
item_category,Reference,Items in the reference category provide information for individual literature references for other objects or items in the entry.
item_category,Assembly,Items in the assembly category describe the molecular assembly studied.
item_category,Entity_assembly,Items in the entity_assembly category identify each molecule in the molecular assembly.
item_category,Entity,Items in the entity category describe the characteristics of a molecular entity (protein$ nucleic acid$ polycarbohydrate$ cofactor$ ligand$ inhibitor$ etc.)
item_category,Entity_comp_index,Items in the entity_comp_index category provide a consistent numbering system for the moieties (amino acid residues$ nucleotides$ monosaccharides$ or other chemical components) that are linked together through chemical bonds to form either a polymer or a non-polymer entity.
item_category,Chem_comp,Items in the chem_comp category describe the chemical components that make up a molecular entity.
item_category,Chem_comp_systematic_name,Items in the chem_comp_systematic_name category provide a list of systematic names for a chemical component and define the systematic naming systems.
item_category,Characteristic,Items in the characteristics category define specific physical characteristics for a chemical component and links to the source of the information.
item_category,Chem_comp_atom,Items in the chem_comp_atom category define the atoms in a chemical component$ the name for each atom$ and characteristics of each atom in the chemical component.
item_category,Atom_nomenclature,Items in the atom_nomenclature category define alternative atom nomenclature for the atoms in a chemical compound.
item_category,Chem_comp_bond,Items in the chem_comp_bond category define the chemical bonds in a chemical component.
item_category,Sample,Items in the sample category describe the characteristics of the samples used to collect experimental data.
item_category,Sample_component,Items in the sample_component category define the components of a sample$ their concentration in the sample$ and the isotopic labeling for the component.
item_category,Sample_condition_list,Items in the sample_conditions_list define a unique set of sample conditions.
item_category,Sample_condition_variable,Items in the sample_condition_variable category define specific sample conditions like temperature or pH and the values for the sample conditions used in collecting experimental data.
item_category,Software,Items in the software category describe software applications.
item_category,Vendor,Items in the vendor category define from whom a software application can be obtained.
item_category,Task,Items in the task category describe the tasks the software performed.
