Dictionary sequence,SFCategory,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,Item enumerated,Item enumeration closed,Data Type,Nullable,Row Index Key,Source Key,Table Primary Key,Foreign Table,Foreign Column,Loopflag,Seq,Example,SfNamelFlg,Sf category flag,Sf pointer,default value,Tag category,Tag field,BMRB data type,Dictionary description,?
,,,,,,,Y or N,Y N mY or mN,,,,,,,,,,,?,,,?,,?,?,dictionary,?
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
TBL_BEGIN,,0.8,,,,,,,,,,,,,,,,,?,,,,,,,,?
10,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Sf_category,N,,VARCHAR(127),NOT NULL,N,,,,,N,,FID_sampling,N,Y,N,?,FID_sampling,Sf_category,line,Category assigned to the information in the save frame.,?
30,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.File_generated_date,N,,DATETIME year to day,,N,,,,,N,,2018-09-23,,,,,FID_sampling,File_generated_date,yyyy-mm-dd,The date the sampling schedule was generated.,?
40,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.ID,N,,INTEGER,NOT NULL,N,Y,Y,,,N,,2,N,N,N,?,FID_sampling,ID,int,Unique value identifying this saveframe of category FID_sample within an entry.,?
50,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Software_ID,N,,INTEGER,,N,,,Software,ID,N,,1,N,N,N,?,FID_sampling,Software_ID,int,Pointer to '_Software.ID',?
60,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Software_name,N,,VARCHAR(127),,N,,,,,N,,?,N,N,N,?,FID_sampling,Software_name,line,Name of the software used to generate the sampling schedule.,?
70,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Experiment_name,N,,VARCHAR(127),,N,,,,,N,,?,N,N,N,?,FID_sampling,Experiment_name,line,Name for the NMR spectrometer experiment.,?
80,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.NMR_spec_expt_ID,N,,INTEGER,,N,,,NMR_spec_expt,ID,N,,1,N,N,N,?,FID_sampling,NMR_spec_expt_ID,int,Pointer to '_NMR_spec_expt.ID',?
90,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Layout_dimension_count,N,,INTEGER,,N,,,,,N,,3,N,N,N,?,FID_sampling,Layout_dimension_count,int,Number of spectral dimensions,?
100,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Layout_aux_dimension_count,N,,INTEGER,,N,,,,,N,,1,N,N,N,?,FID_sampling,Layout_aux_dimension_count,int,Number of auxiliar dimensions. These dimensions are,?
110,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Layout_hypercomplex_component_type,Y,Y,VARCHAR(127),,N,,,,,N,,full,N,N,N,?,FID_sampling,Layout_hypercomplex_component_type,line,The type of hypercomplex component used.,?
120,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Layout_transient_type,Y,Y,VARCHAR(127),,N,,,,,N,,uniform,N,N,N,?,FID_sampling,Layout_transient_type,line,The type of transient collected.,?
130,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Layout_FID_ID_type,Y,Y,VARCHAR(127),,N,,,,,N,,?,N,N,N,?,FID_sampling,Layout_FID_ID_type,line,The type of FID ID used.,?
140,FID_sampling,4,experimental_details,20,FID_sampling,_FID_sampling.Matrix_format,Y,Y,VARCHAR(127),,N,,,,,N,,,N,N,N,?,FID_sampling,Matrix_format,line,The type of format used for the data matrix.,?
150,FID_sampling,4,experimental_details,20,FID_sampling_base,_FID_sampling_base.Spectral_dim,N,,INTEGER,NOT NULL,N,,,,,Y,,2,N,N,N,?,FID_sampling_base,Spectral_dim,int,Unique identifier for the spectral dimension.,?
160,FID_sampling,4,experimental_details,20,FID_sampling_base,_FID_sampling_base.Parameter,Y,Y,VARCHAR(127),NOT NULL,N,,,,,Y,,time_series_type,N,N,N,?,FID_sampling_base,Parameter,line,A allowed parameter describing the spectral layout.,?
170,FID_sampling,4,experimental_details,20,FID_sampling_base,_FID_sampling_base.Parameter_value,N,,VARCHAR(127),NOT NULL,N,,,,,Y,,linear,N,N,N,?,FID_sampling_base,Parameter_value,line,The value assigned to  the parameter defined in the '_FID_sampleing_base.Parameter' token.,?
180,FID_sampling,4,experimental_details,20,FID_sampling_base,_FID_sampling_base.Param_tag,N,,VARCHAR(127),NOT NULL,N,,,,,Y,,‘_Schedule.Time_index_dim2’,N,N,N,?,FID_sampling_base,Param_tag,line,The tag where the parameter and value apply.,?
190,FID_sampling,4,experimental_details,20,Schedule,_Schedule.FID_ID,N,,INTEGER,NOT NULL,N,,,,,Y,,1,N,N,N,?,Schedule,FID_ID,int,The unique identifier for a FID in the schedule.,?
200,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Proc_FID_ID,N,,INTEGER,,N,,,,,Y,,1,N,N,N,?,Schedule,Proc_FID_ID,int,The unique identifier for the corresponding FID after processing of the original FID.,?
210,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_index_dim2,N,,INTEGER,,N,,,,,Y,,0,N,N,N,?,Schedule,Time_index_dim2,int,The time indel for the spectral dimension. Multiply by the FID_sampling_base to derive the time_multiplier,?
220,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_value_dim2,N,,FLOAT,,N,,,,,Y,,?,N,N,N,?,Schedule,Time_value_dim2,float,The time values used for the defined dimension.,?
230,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_index_dim2,N,,INTEGER,,N,,,,,Y,,0,N,N,N,?,Schedule,Quadrature_index_dim2,int,The quadrature indel for the spectral dimension. Multiply by FID_sampling_base to derive the quadrature multiplier.,?
240,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_value_dim2,N,,FLOAT,,N,,,,,Y,,?,N,N,N,?,Schedule,Quadrature_value_dim2,float,The quadrature values used for the defined dimension.,?
250,FID_sampling,4,experimental_details,20,Schedule,_Schedule.AuxA_index,N,,INTEGER,,N,,,,,Y,,0,N,N,N,?,Schedule,AuxA_index,int,The increment to be applied to the defined (A) auxiliary axis.,?
260,FID_sampling,4,experimental_details,20,Schedule,_Schedule.AuxB_index,N,,INTEGER,,N,,,,,Y,,0,N,N,N,?,Schedule,AuxB_index,int,The increment to be applied to the defined (A) auxiliary axis.,?
270,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_index_dim3,N,,INTEGER,,N,,,,,Y,,0,N,N,N,?,Schedule,Time_index_dim3,int,The time indel for the spectral dimension. Multiply by the FID_sampling_base to derive the time_multiplier,?
280,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_value_dim3,N,,FLOAT,,N,,,,,Y,,?,N,N,N,?,Schedule,Time_value_dim3,float,The time values used for the defined dimension.,?
290,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_index_dim3,N,,INTEGER,,N,,,,,Y,,?,N,N,N,?,Schedule,Quadrature_index_dim3,int,The quadrature indel for the spectral dimension. Multiply by FID_sampling_base to derive the quadrature multiplier.,?
300,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_value_dim3,N,,FLOAT,,N,,,,,Y,,90,N,N,N,?,Schedule,Quadrature_value_dim3,float,The quadrature values used for the defined dimension.,?
310,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_index_dim4,N,,INTEGER,,N,,,,,Y,,0,N,N,N,?,Schedule,Time_index_dim4,int,The time indel for the spectral dimension. Multiply by the FID_sampling_base to derive the time_multiplier,?
320,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_value_dim4,N,,FLOAT,,N,,,,,Y,,?,N,N,N,?,Schedule,Time_value_dim4,float,The time values used for the defined dimension.,?
330,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_index_dim4,N,,INTEGER,,N,,,,,Y,,?,N,N,N,?,Schedule,Quadrature_index_dim4,int,The quadrature indel for the spectral dimension. Multiply by FID_sampling_base to derive the quadrature multiplier.,?
340,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_value_dim4,N,,FLOAT,,N,,,,,Y,,90,N,N,N,?,Schedule,Quadrature_value_dim4,float,The quadrature values used for the defined dimension.,?
350,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_index_dim5,N,,INTEGER,,N,,,,,Y,,0,N,N,N,?,Schedule,Time_index_dim5,int,The time indel for the spectral dimension. Multiply by the FID_sampling_base to derive the time_multiplier,?
360,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_value_dim5,N,,FLOAT,,N,,,,,Y,,?,N,N,N,?,Schedule,Time_value_dim5,float,The time values used for the defined dimension.,?
370,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_index_dim5,N,,INTEGER,,N,,,,,Y,,?,N,N,N,?,Schedule,Quadrature_index_dim5,int,The quadrature indel for the spectral dimension. Multiply by FID_sampling_base to derive the quadrature multiplier.,?
380,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_value_dim5,N,,FLOAT,,N,,,,,Y,,90,N,N,N,?,Schedule,Quadrature_value_dim5,float,The quadrature values used for the defined dimension.,?
390,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_index_dim6,N,,INTEGER,,N,,,,,Y,,0,N,N,N,?,Schedule,Time_index_dim6,int,The time indel for the spectral dimension. Multiply by the FID_sampling_base to derive the time_multiplier,?
400,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Time_value_dim6,N,,FLOAT,,N,,,,,Y,,?,N,N,N,?,Schedule,Time_value_dim6,float,The time values used for the defined dimension.,?
410,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_index_dim6,N,,INTEGER,,N,,,,,Y,,?,N,N,N,?,Schedule,Quadrature_index_dim6,int,The quadrature indel for the spectral dimension. Multiply by FID_sampling_base to derive the quadrature multiplier.,?
420,FID_sampling,4,experimental_details,20,Schedule,_Schedule.Quadrature_value_dim6,N,,FLOAT,,N,,,,,Y,,90,N,N,N,?,Schedule,Quadrature_value_dim6,float,The quadrature values used for the defined dimension.,?
