dictionarySeq,originalCategory,aditCatManFlg,aditCatViewType,aditSuperCatID,aditSuperCatName,aditCatGrpID,aditCatViewName,aditInitialRows,originalTag,aditExists,aditViewFlgs,enumeratedFlg,itemEnumClosedFlg,aditItemViewName,aditFormCode,dbType,bmrbType,dbNullable,internalFlg,rowIndexFlg,lclIDFlg,lclSfIdFlg,sfIdFlg,sfNameFlg,sfCategoryFlg,sfPointerFlg,primaryKey,foreignKeyGroup,foreignTable,foreignColumn,indexFlg,dbTableName,dbColumnName,tagCategory,tagField,loopFlg,seq,dbFlg,validateFlgs,valOverideFlgs,defaultValue,bmrbPdbMatchId,bmrbPdbTransFunc,variableTypeMatch,entryIdFlg,OutputMapExistsFlg,aditAutoInsert,datumCountFlgs,metaDataFlgs,tagDeleteFlgs,RefKeyGroup,RefTable,RefColumn,example,prompt
TBL_BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
10,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Sf_category,Y,HB,N,,Sf category,0,VARCHAR(127),code,NOT NULL,Y,N,?,?,N,N,Y,N,,,,,,,,Entry_interview,Sf_category,N,10,Y,IVM,II,?,?,?,,N,,1,?,Y,N,,,,?,n/a
20,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Sf_framecode,Y,HB,N,,Sf framecode,0,VARCHAR(127),framecode,NOT NULL,Y,N,?,?,N,Y,N,N,,,,,,,,Entry_interview,Sf_framecode,N,20,Y,IV,II,?,?,?,,N,,2,?,Y,N,,,,?,n/a
30,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Entry_ID,Y,HB,N,,Entry ID,0,CHAR(12),code,NOT NULL,Y,N,Y,?,N,N,N,N,Y,,Entry,ID,,,,Entry_interview,Entry_ID,N,30,Y,IV,II,?,?,?,,Y,,3,?,Y,N,,,,?,n/a
40,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Sf_ID,Y,HB,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,,,,,,Entry_interview,Sf_ID,N,40,Y,IV,II,?,?,?,,N,,4,?,Y,N,,,,?,n/a
50,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.ID,Y,HB,N,,ID,0,INTEGER,int,NOT NULL,Y,N,?,Y,N,N,N,N,Y,,,,,,,Entry_interview,ID,N,50,Y,IV,II,?,?,?,,N,,5,?,Y,N,,,,?,n/a
60,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.PDB_deposition,Y,HM,N,,PDB deposition,6,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,PDB_deposition,N,60,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,PDB deposition
70,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.BMRB_deposition,Y,HB,N,,BMRB deposition,6,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,BMRB_deposition,N,70,Y,IO,II,?,?,?,,N,,0,?,Y,N,,,,?,BMRB deposition
80,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.View_mode,Y,HB,Y,Y,View mode,4,VARCHAR(15),code,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,View_mode,N,80,Y,IO,II,BMRB Only,?,?,,N,,0,?,Y,N,,,,?,Start a PDB/BMRB deposition or a BMRB only deposition
90,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Use_previous_BMRB_entry,Y,HB,N,,Use previous BMRB entry,5,BOOLEAN,yes_no,,Y,N,?,?,N,N,N,N,,,,,,,,Entry_interview,Use_previous_BMRB_entry,N,90,Y,IO,II,no,?,?,,N,,0,?,Y,N,,,,?,Is this deposition based on chemical shift data taken from an existing BMRB entry?
