Order of operation,Sf category,Tag category,Tag,Override view value,Conditional tag category,Conditional tag,Override value
TBL_BEGIN,,,,,,,?
10,entry_information,Entry,_Entry.Dep_release_code_coordinates,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
12,entry_information,Entry,_Entry.Dep_release_code_chemical_shifts,H,Entry_interview,_Entry_interview.PDB_deposition,yes
20,entry_information,Struct_keywords,_Struct_keywords.Keywords,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
30,entry_information,Struct_keywords,_Struct_keywords.Text,H,Entry_interview,_Entry_interview.PDB_deposition,yes
40,entry_information,Struct_keywords,_Struct_keywords.Sf_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
50,entry_information,Struct_keywords,_Struct_keywords.Entry_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
51,entry_information,Contact_person,_Contact_person.Address_3,N,Contact_person,_Contact_person.Address_2,*
60,assembly,Assembly,_Assembly.Thiol_state,H,Entry_interview,_Entry_interview.PDB_deposition,yes
70,assembly,Assembly,_Assembly.Molecular_mass,H,Entry_interview,_Entry_interview.PDB_deposition,yes
80,assembly,Entity_assembly,_Entity_assembly.Asym_ID,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90,assembly,Assembly_interaction,_Assembly_interaction.ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
100,assembly,Assembly_interaction,_Assembly_interaction.Entity_assembly_ID_1,H,Entry_interview,_Entry_interview.PDB_deposition,yes
110,assembly,Assembly_interaction,_Assembly_interaction.Entity_assembly_ID_2,H,Entry_interview,_Entry_interview.PDB_deposition,yes
120,assembly,Assembly_interaction,_Assembly_interaction.Mol_interaction_type,H,Entry_interview,_Entry_interview.PDB_deposition,yes
130,assembly,Assembly_interaction,_Assembly_interaction.Sf_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
140,assembly,Assembly_interaction,_Assembly_interaction.Entry_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
150,assembly,Assembly_interaction,_Assembly_interaction.Assembly_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
160,assembly,Chem_comp_assembly,_Chem_comp_assembly.Entity_assembly_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
170,assembly,Chem_comp_assembly,_Chem_comp_assembly.Entity_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
180,assembly,Chem_comp_assembly,_Chem_comp_assembly.Comp_index_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
190,assembly,Chem_comp_assembly,_Chem_comp_assembly.Comp_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
210,assembly,Chem_comp_assembly,_Chem_comp_assembly.Seq_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
220,assembly,Chem_comp_assembly,_Chem_comp_assembly.Sf_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
230,assembly,Chem_comp_assembly,_Chem_comp_assembly.Entry_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
240,assembly,Chem_comp_assembly,_Chem_comp_assembly.Assembly_ID,H,Entry_interview,_Entry_interview.PDB_deposition,yes
250,bond_annotation,Bond_annotation,_Bond_annotation.Auth_seq_ID_1,N,Entry_interview,_Entry_interview.PDB_deposition,yes
260,bond_annotation,Bond_annotation,_Bond_annotation.Auth_comp_ID_1,N,Entry_interview,_Entry_interview.PDB_deposition,yes
270,bond_annotation,Bond_annotation,_Bond_annotation.Auth_atom_ID_1,N,Entry_interview,_Entry_interview.PDB_deposition,yes
280,bond_annotation,Bond_annotation,_Bond_annotation.Auth_seq_ID_2,N,Entry_interview,_Entry_interview.PDB_deposition,yes
290,bond_annotation,Bond_annotation,_Bond_annotation.Auth_comp_ID_2,N,Entry_interview,_Entry_interview.PDB_deposition,yes
300,bond_annotation,Bond_annotation,_Bond_annotation.Auth_atom_ID_2,N,Entry_interview,_Entry_interview.PDB_deposition,yes
310,entry_information,SG_project,_SG_project.SG_project_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
320,entry_information,SG_project,_SG_project.Project_name,Y,Entry_interview,_Entry_interview.Structural_genomics,yes
330,entry_information,SG_project,_SG_project.Full_name_of_center,Y,Entry_interview,_Entry_interview.Structural_genomics,yes
340,entry_information,SG_project,_SG_project.Initial_of_center,H,Entry_interview,_Entry_interview.Structural_genomics,yes
350,entry_information,Entry_src,_Entry_src.Project_name,H,Entry_interview,_Entry_interview.Structural_genomics,yes
360,entry_information,Entry_src,_Entry_src.Organization_full_name,H,Entry_interview,_Entry_interview.Structural_genomics,yes
370,entry_information,Entry_src,_Entry_src.Organization_initials,H,Entry_interview,_Entry_interview.Structural_genomics,yes
380,NMR_spectrometer_list,NMR_spectrometer_list,_NMR_spectrometer_list.Sf_category,H,Entry_interview,_Entry_interview.Structural_genomics,yes
390,NMR_spectrometer_list,NMR_spectrometer_list,_NMR_spectrometer_list.Sf_framecode,H,Entry_interview,_Entry_interview.Structural_genomics,yes
400,NMR_spectrometer_list,NMR_spectrometer_list,_NMR_spectrometer_list.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
410,NMR_spectrometer_list,NMR_spectrometer_list,_NMR_spectrometer_list.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
420,NMR_spectrometer_list,NMR_spectrometer_list,_NMR_spectrometer_list.ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
430,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
440,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Name,Y,Entry_interview,_Entry_interview.Structural_genomics,yes
450,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Manufacturer,Y,Entry_interview,_Entry_interview.Structural_genomics,yes
460,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Model,Y,Entry_interview,_Entry_interview.Structural_genomics,yes
470,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Serial_number,H,Entry_interview,_Entry_interview.Structural_genomics,yes
480,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Field_strength,Y,Entry_interview,_Entry_interview.Structural_genomics,yes
490,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Details,N,Entry_interview,_Entry_interview.Structural_genomics,yes
500,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Citation_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
510,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Citation_label,H,Entry_interview,_Entry_interview.Structural_genomics,yes
520,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
530,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
540,NMR_spectrometer_list,NMR_spectrometer_view,_NMR_spectrometer_view.NMR_spectrometer_list_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
550,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Sf_category,H,Entry_interview,_Entry_interview.Structural_genomics,yes
560,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Sf_framecode,N,Entry_interview,_Entry_interview.Structural_genomics,yes
570,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
580,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
590,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
600,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Details,N,Entry_interview,_Entry_interview.Structural_genomics,yes
610,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Manufacturer,N,Entry_interview,_Entry_interview.Structural_genomics,yes
620,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Model,N,Entry_interview,_Entry_interview.Structural_genomics,yes
630,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Serial_number,N,Entry_interview,_Entry_interview.Structural_genomics,yes
640,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Diameter,N,Entry_interview,_Entry_interview.Structural_genomics,yes
650,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Rotor_length,H,Entry_interview,_Entry_interview.Structural_genomics,yes
660,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Rotor_composition,H,Entry_interview,_Entry_interview.Structural_genomics,yes
670,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Internal_volume,H,Entry_interview,_Entry_interview.Structural_genomics,yes
680,NMR_spectrometer_probe,NMR_spectrometer_probe,_NMR_spectrometer_probe.Spacer_present,H,Entry_interview,_Entry_interview.Structural_genomics,yes
690,NMR_spectrometer_probe,NMR_probe,_NMR_probe.Type,N,Entry_interview,_Entry_interview.Structural_genomics,yes
700,NMR_spectrometer_probe,NMR_probe,_NMR_probe.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
710,NMR_spectrometer_probe,NMR_probe,_NMR_probe.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
720,NMR_spectrometer_probe,NMR_probe,_NMR_probe.NMR_spectrometer_probe_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
730,NMR_spectrometer_probe,NMR_spectrometer_probe_citation,_NMR_spectrometer_probe_citation.Citation_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
740,NMR_spectrometer_probe,NMR_spectrometer_probe_citation,_NMR_spectrometer_probe_citation.Citation_label,H,Entry_interview,_Entry_interview.Structural_genomics,yes
750,NMR_spectrometer_probe,NMR_spectrometer_probe_citation,_NMR_spectrometer_probe_citation.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
760,NMR_spectrometer_probe,NMR_spectrometer_probe_citation,_NMR_spectrometer_probe_citation.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
770,NMR_spectrometer_probe,NMR_spectrometer_probe_citation,_NMR_spectrometer_probe_citation.NMR_spectrometer_probe_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
780,NMR_spectrometer_expt,NMR_experiment_citation,_NMR_experiment_citation.Citation_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
790,NMR_spectrometer_expt,NMR_experiment_citation,_NMR_experiment_citation.Citation_label,N,Entry_interview,_Entry_interview.Structural_genomics,yes
800,NMR_spectrometer_expt,NMR_experiment_citation,_NMR_experiment_citation.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
810,NMR_spectrometer_expt,NMR_experiment_citation,_NMR_experiment_citation.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
820,NMR_spectrometer_expt,NMR_experiment_citation,_NMR_experiment_citation.NMR_spec_expt_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
830,NMR_spectral_processing,NMR_spectral_processing,_NMR_spectral_processing.Sf_category,H,Entry_interview,_Entry_interview.Structural_genomics,yes
840,NMR_spectral_processing,NMR_spectral_processing,_NMR_spectral_processing.Sf_framecode,H,Entry_interview,_Entry_interview.Structural_genomics,yes
850,NMR_spectral_processing,NMR_spectral_processing,_NMR_spectral_processing.Entry_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
860,NMR_spectral_processing,NMR_spectral_processing,_NMR_spectral_processing.Sf_ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
870,NMR_spectral_processing,NMR_spectral_processing,_NMR_spectral_processing.ID,H,Entry_interview,_Entry_interview.Structural_genomics,yes
