category type,category,Description
,?,?
super_group,entry_information,The entry_information category super group captures general information describing the entry$ any study where the entry is a member$ and information regarding the processing of the entry and updates to the entry after its initial release to the public.
super_group,citations,The citations super category contains the references sited in the entry and the primary citation related to a specific entry.
super_group,assembly_supercategory,The assembly_supercategory contains the complete chemical description of the molecular assembly studied$ additional reference information for the molecular assembly and its components$ and links to information for the equivalent or similar molecular assemblies or biopolymer components in other databases.
super_group,experimental_details,The experimental_details super group category captures information about the samples$ sample conditions$ NMR spectrometers$ NMR experiments$ software descriptions$ experimental details for data derived from coroborating experimental techniques$ and other data regarding the experiments used to collect the NMR spectral data and to derive kinetic$ thermodynamic$ and structure information.
super_group,NMR_parameters,The NMR_parameters super group contains the category groups used to model NMR spectral parameters (e.g.$ chemical shifts$ peak lists$ coupling constants) or theoretically calculated parameters like chemical shifts and links to supporting information.
super_group,kinetics,The kinetics super group contains the category groups that model a variety of kinetic values that can be derived from NMR spectral data or data from coroberating techniques.
super_group,thermodynamics,The thermodynamic super group contains the category groups that contain the thermodynamic data that can be derived from NMR spectral data.
super_group,structure,The structure category super group captures atomic coordinates$ constraints$ statistical data$ and other related information.
category_group,deposited_data_files,Categories that capture information about the data files that are uploaded for depositions.
category_group,entry_interview,Categories that record an overview of the information to be deposited by an author.
category_group,study_list,Categories that describe a study of a molecular system that includes data from one or more entries.
category_group,entry_information,Categories that describe an entry.
category_group,citations,Categories that provide bibliographic references.
category_group,references,Categories that provide a list of references as a simple unparsed citations.
category_group,chem_comp,Categories that describe chemical components of entities and molecular assemblies (e.g.$ ligands$ metal ions$ cofactors).
category_group,entity,Categories that describe the polymer and non-polymer molecules that make up a molecular assembly.
category_group,assembly,Categories that describe a molecular assembly.
category_group,assembly_annotation,Categories that provide annotations for a molecular assembly.
category_group,assembly_subsystems,Categories that describe subsystems of a molecular assembly.
category_group,natural_source,Categories that describe the organism or other body found in nature that produces a molecular entity described in an entry.
category_group,experimental_source,Categories that describe the system used to produce a molecular entity for scientific experiments carried out to generated data for an entry.
category_group,sample,Categories that describe the contents and other details about the samples used in scientific experiments.
category_group,sample_conditions,Categories that describe the experimental conditions used in conducting individual scientific experiments.
category_group,molecule_purity,Categories that describe the measured purity of a molecular entity in a sample.
