Enumeration ID,Enum ordinal,Enum value,Enum value desc
TBL_BEGIN,?,?,?
54,1,PDB,"Protein Data Bank"
54,2,BMRB,"BioMagResBank"
54,3,DBJ,enumeration_text
54,4,EMBL,enumeration_text
54,5,GB,enumeration_text
54,6,PIR,enumeration_text
54,7,PRF,enumeration_text
54,8,REF,enumeration_text
54,9,SP,enumeration_text
54,10,UNP,enumeration_text
54,11,NCBI,enumeration_text
54,12,PubMed,"NCBI PubMed"
54,13,SGD,"Saccharomyces Genome Database"
54,14,SMART,"Simple Modular Architecture Research Tool"
54,15,TargetDB,"Target registration database"
54,16,BMRB(withdrawn),"BMRB withdrawn accession code"
55,1,X-ray,enumeration_text
55,2,solution NMR,enumeration_text
55,3,solid-state NMR,enumeration_text
55,4,FTIR,enumeration_text
55,5,mass spectrometry,enumeration_text
55,6,XAFS,enumeration_text
55,7,NMR,enumeration_text
55,8,X-ray crystallography,enumeration_text
55,9,X-ray fiber diffraction,enumeration_text
55,10,solid-state NMR and X-ray fiber diffraction,enumeration_text
55,11,na,enumeration_text
57,1,Extremely slow exchange,enumeration_text
57,2,Slow exchange,enumeration_text
57,3,Intermediate exchange,enumeration_text
57,4,Fast exchange,enumeration_text
57,5,No interaction,enumeration_text
57,6,na,enumeration_text
56,1,IUPAC,enumeration_text
56,2,CAS name,enumeration_text
56,3,CAS registry number,enumeration_text
56,4,BMRB,enumeration_text
56,5,Pfam,enumeration_text
56,6,Swiss-Prot,enumeration_text
56,7,MEROPS,enumeration_text
50,1,peptide,enumeration_text
50,2,protein monomer,enumeration_text
50,3,protein homo-multimer,enumeration_text
50,4,protein hetero-multimer,enumeration_text
50,5,RNA single strand,enumeration_text
50,6,RNA double strand,enumeration_text
50,7,DNA single strand,enumeration_text
50,8,DNA double strand,enumeration_text
50,9,DNA-RNA hybrid,enumeration_text
50,10,polysaccharide,enumeration_text
50,11,protein-nucleic acid complex,enumeration_text
50,12,protein-inhibitor complex,enumeration_text
50,13,protein-drug complex,enumeration_text
50,14,protein-ligand complex,enumeration_text
50,15,protein-protein complex,enumeration_text
50,16,protein-DNA complex,enumeration_text
50,17,protein-DNA-ligand complex,enumeration_text
50,18,protein-DNA-inhibitor complex,enumeration_text
50,19,protein-RNA complex,enumeration_text
50,20,protein-RNA-ligand complex,enumeration_text
50,21,protein-RNA-inhibitor complex,enumeration_text
50,22,protein-carbohydrate complex,enumeration_text
50,23,DNA-drug complex,enumeration_text
50,24,DNA-RNA complex,enumeration_text
50,25,RNA-drug complex,enumeration_text
50,26,non-polymer,enumeration_text
49,1,all disulfide bound,enumeration_text
49,2,all other bound,enumeration_text
49,3,all free,enumeration_text
49,4,not present,enumeration_text
49,5,not available,enumeration_text
49,6,unknown,enumeration_text
49,7,not reported,enumeration_text
49,8,free and disulfide bound,enumeration_text
49,9,free and other bound,enumeration_text
49,10,free disulfide and other bound,enumeration_text
49,11,disulfide and other bound,enumeration_text
162,1,1,enumeration_text
162,2,2,enumeration_text
162,3,3,enumeration_text
162,4,4,enumeration_text
162,5,5,enumeration_text
162,6,6,enumeration_text
162,7,9,enumeration_text
263,1,1,"Flag indicating that the atom is in an ordered region of the structure."
263,2,0,"Flag indicating that the atom is in a poorly ordered region of the structure."
41,1,Preliminary version,enumeration_text
41,2,Nomenclature checked,enumeration_text
41,3,Nomenclature checked and updated,enumeration_text
41,4,Chemical shifts checked,enumeration_text
41,5,Chemical shifts checked and updated,enumeration_text
41,6,Data file replaced,enumeration_text
41,7,Initial release,enumeration_text
228,1,isotropic,enumeration_text
228,2,anisotropic,enumeration_text
228,3,solid,enumeration_text
224,1,R1,enumeration_text
224,2,R2,enumeration_text
224,3,R1rho,enumeration_text
224,4,ZQ relaxation,enumeration_text
224,5,longitudinal spin order,enumeration_text
224,6,single quantum antiphase,enumeration_text
224,7,DQ relaxation,enumeration_text
225,1,Iz,"R1    longitudinal"
225,2,Sz,"R1    longitudinal"
225,3,(I+)+(I-),"R1rho or R2      transverse"
225,4,(S+)+(S-),"R1rho or R2      transverse"
225,5,I+,"R1rho or R2      transverse"
225,6,I-,"R1rho or R2      transverse"
225,7,S+,"R1rho or R2      transverse"
225,8,S-,"R1rho or R2      transverse"
225,9,(I+S-)+(I-S+),"ZQ relaxation"
225,10,I-S+,"ZQ relaxation"
