NMR-STAR link ID,CIF to STAR transform code,tagCategory,tagField,mmCIF/pdbx data item,additional_transform_data,entryIdFlg,pdbxMapExistsFlg
11540,,,,,?,,Y
TBL_BEGIN,,,,,?,,Y
,,atom_site,adp_type,_atom_site.adp_type,?,N,N
,,atom_site,aniso_B[1][1],_atom_site.aniso_B[1][1],?,N,N
,,atom_site,aniso_B[1][1]_esd,_atom_site.aniso_B[1][1]_esd,?,N,N
,,atom_site,aniso_B[1][2],_atom_site.aniso_B[1][2],?,N,N
,,atom_site,aniso_B[1][2]_esd,_atom_site.aniso_B[1][2]_esd,?,N,N
,,atom_site,aniso_B[1][3],_atom_site.aniso_B[1][3],?,N,N
,,atom_site,aniso_B[1][3]_esd,_atom_site.aniso_B[1][3]_esd,?,N,N
,,atom_site,aniso_B[2][2],_atom_site.aniso_B[2][2],?,N,N
,,atom_site,aniso_B[2][2]_esd,_atom_site.aniso_B[2][2]_esd,?,N,N
,,atom_site,aniso_B[2][3],_atom_site.aniso_B[2][3],?,N,N
,,atom_site,aniso_B[2][3]_esd,_atom_site.aniso_B[2][3]_esd,?,N,N
,,atom_site,aniso_B[3][3],_atom_site.aniso_B[3][3],?,N,N
,,atom_site,aniso_B[3][3]_esd,_atom_site.aniso_B[3][3]_esd,?,N,N
,,atom_site,aniso_ratio,_atom_site.aniso_ratio,?,N,N
,,atom_site,aniso_U[1][1],_atom_site.aniso_U[1][1],?,N,N
,,atom_site,aniso_U[1][1]_esd,_atom_site.aniso_U[1][1]_esd,?,N,N
,,atom_site,aniso_U[1][2],_atom_site.aniso_U[1][2],?,N,N
,,atom_site,aniso_U[1][2]_esd,_atom_site.aniso_U[1][2]_esd,?,N,N
,,atom_site,aniso_U[1][3],_atom_site.aniso_U[1][3],?,N,N
,,atom_site,aniso_U[1][3]_esd,_atom_site.aniso_U[1][3]_esd,?,N,N
,,atom_site,aniso_U[2][2],_atom_site.aniso_U[2][2],?,N,N
,,atom_site,aniso_U[2][2]_esd,_atom_site.aniso_U[2][2]_esd,?,N,N
,,atom_site,aniso_U[2][3],_atom_site.aniso_U[2][3],?,N,N
,,atom_site,aniso_U[2][3]_esd,_atom_site.aniso_U[2][3]_esd,?,N,N
,,atom_site,aniso_U[3][3],_atom_site.aniso_U[3][3],?,N,N
,,atom_site,aniso_U[3][3]_esd,_atom_site.aniso_U[3][3]_esd,?,N,N
,,atom_site,attached_hydrogens,_atom_site.attached_hydrogens,?,N,N
10733,1,atom_site,auth_asym_id,_atom_site.auth_asym_id,?,N,Y
1001,1,atom_site,auth_atom_id,_atom_site.auth_atom_id,?,N,Y
1002,1,atom_site,auth_comp_id,_atom_site.auth_comp_id,?,N,Y
1003,1,atom_site,auth_seq_id,_atom_site.auth_seq_id,?,N,Y
,,atom_site,B_equiv_geom_mean,_atom_site.B_equiv_geom_mean,?,N,N
,,atom_site,B_equiv_geom_mean_esd,_atom_site.B_equiv_geom_mean_esd,?,N,N
,,atom_site,B_iso_or_equiv,_atom_site.B_iso_or_equiv,?,N,N
,,atom_site,B_iso_or_equiv_esd,_atom_site.B_iso_or_equiv_esd,?,N,N
,,atom_site,calc_attached_atom,_atom_site.calc_attached_atom,?,N,N
,,atom_site,calc_flag,_atom_site.calc_flag,?,N,N
10060,1,atom_site,Cartn_x,_atom_site.Cartn_x,?,N,Y
10061,1,atom_site,Cartn_x_esd,_atom_site.Cartn_x_esd,?,N,Y
10062,1,atom_site,Cartn_y,_atom_site.Cartn_y,?,N,Y
10063,1,atom_site,Cartn_y_esd,_atom_site.Cartn_y_esd,?,N,Y
10064,1,atom_site,Cartn_z,_atom_site.Cartn_z,?,N,Y
10065,1,atom_site,Cartn_z_esd,_atom_site.Cartn_z_esd,?,N,Y
10066,1,atom_site,chemical_conn_number,_atom_site.chemical_conn_number,?,N,N
10067,1,atom_site,constraints,_atom_site.constraints,?,N,N
10068,1,atom_site,details,_atom_site.details,?,N,N
10069,,atom_site,disorder_assembly,_atom_site.disorder_assembly,?,N,N
10070,,atom_site,disorder_group,_atom_site.disorder_group,?,N,N
10071,1,atom_site,footnote_id,_atom_site.footnote_id,?,N,Y
10072,,atom_site,fract_x,_atom_site.fract_x,?,N,N
10073,,atom_site,fract_x_esd,_atom_site.fract_x_esd,?,N,N
10074,,atom_site,fract_y,_atom_site.fract_y,?,N,N
10075,,atom_site,fract_y_esd,_atom_site.fract_y_esd,?,N,N
10076,,atom_site,fract_z,_atom_site.fract_z,?,N,N
10077,,atom_site,fract_z_esd,_atom_site.fract_z_esd,?,N,N
10078,,atom_site,group_PDB,_atom_site.group_PDB,?,N,Y
10079,1,atom_site,id,_atom_site.id,?,N,Y
10080,,atom_site,label_alt_id,_atom_site.label_alt_id,?,N,Y
10081,1,atom_site,label_asym_id,_atom_site.label_asym_id,?,N,Y
10082,1,atom_site,label_atom_id,_atom_site.label_atom_id,?,N,Y
10083,1,atom_site,label_comp_id,_atom_site.label_comp_id,?,N,Y
10084,1,atom_site,label_entity_id,_atom_site.label_entity_id,?,N,Y
10085,1,atom_site,label_seq_id,_atom_site.label_seq_id,?,N,Y
10086,1,atom_site,occupancy,_atom_site.occupancy,?,N,Y
10087,1,atom_site,occupancy_esd,_atom_site.occupancy_esd,?,N,Y
10088,,atom_site,pdbx_auth_alt_id,_atom_site.pdbx_auth_alt_id,?,N,N
10089,1,atom_site,pdbx_auth_atom_name,_atom_site.pdbx_auth_atom_name,?,N,N
11425,1,atom_site,pdbx_formal_charge,_atom_site.pdbx_formal_charge,?,N,N
,,atom_site,pdbx_ncs_dom_id,_atom_site.pdbx_ncs_dom_id,?,N,N
10090,1,atom_site,pdbx_PDB_atom_name,_atom_site.pdbx_PDB_atom_name,?,N,N
10091,,atom_site,pdbx_PDB_ins_code,_atom_site.pdbx_PDB_ins_code,?,N,N
10092,1,atom_site,pdbx_PDB_model_num,_atom_site.pdbx_PDB_model_num,?,N,N
10093,1,atom_site,pdbx_PDB_residue_name,_atom_site.pdbx_PDB_residue_name,?,N,N
10094,1,atom_site,pdbx_PDB_residue_no,_atom_site.pdbx_PDB_residue_no,?,N,N
10095,,atom_site,pdbx_PDB_strand_id,_atom_site.pdbx_PDB_strand_id,?,N,N
,,atom_site,pdbx_tls_group_id,_atom_site.pdbx_tls_group_id,?,N,N
10096,,atom_site,refinement_flags,_atom_site.refinement_flags,?,N,N
10096,,atom_site,refinement_flags_adp,_atom_site.refinement_flags_adp,?,N,N
10096,,atom_site,refinement_flags_occupancy,_atom_site.refinement_flags_occupancy,?,N,N
10096,,atom_site,refinement_flags_posn,_atom_site.refinement_flags_posn,?,N,N
10097,,atom_site,restraints,_atom_site.restraints,?,N,N
10098,,atom_site,symmetry_multiplicity,_atom_site.symmetry_multiplicity,?,N,N
10099,,atom_site,thermal_displace_type,_atom_site.thermal_displace_type,?,N,N
10100,1,atom_site,type_symbol,_atom_site.type_symbol,?,N,Y
10101,,atom_site,U_equiv_geom_mean,_atom_site.U_equiv_geom_mean,?,N,N
10102,,atom_site,U_equiv_geom_mean_esd,_atom_site.U_equiv_geom_mean_esd,?,N,N
10103,,atom_site,U_iso_or_equiv,_atom_site.U_iso_or_equiv,?,N,N
10104,,atom_site,U_iso_or_equiv_esd,_atom_site.U_iso_or_equiv_esd,?,N,N
10105,,atom_site,Wyckoff_symbol,_atom_site.Wyckoff_symbol,?,N,N
,,atom_site_anisotrop,B[1][1],_atom_site_anisotrop.B[1][1],?,N,Y
,,atom_site_anisotrop,B[1][1]_esd,_atom_site_anisotrop.B[1][1]_esd,?,N,Y
,,atom_site_anisotrop,B[1][2],_atom_site_anisotrop.B[1][2],?,N,Y
,,atom_site_anisotrop,B[1][2]_esd,_atom_site_anisotrop.B[1][2]_esd,?,N,Y
,,atom_site_anisotrop,B[1][3],_atom_site_anisotrop.B[1][3],?,N,Y
,,atom_site_anisotrop,B[1][3]_esd,_atom_site_anisotrop.B[1][3]_esd,?,N,Y
,,atom_site_anisotrop,B[2][2],_atom_site_anisotrop.B[2][2],?,N,Y
,,atom_site_anisotrop,B[2][2]_esd,_atom_site_anisotrop.B[2][2]_esd,?,N,Y
,,atom_site_anisotrop,B[2][3],_atom_site_anisotrop.B[2][3],?,N,Y
,,atom_site_anisotrop,B[2][3]_esd,_atom_site_anisotrop.B[2][3]_esd,?,N,Y
,,atom_site_anisotrop,B[3][3],_atom_site_anisotrop.B[3][3],?,N,Y
,,atom_site_anisotrop,B[3][3]_esd,_atom_site_anisotrop.B[3][3]_esd,?,N,Y
,,atom_site_anisotrop,id,_atom_site_anisotrop.id,?,N,Y
,,atom_site_anisotrop,pdbx_auth_alt_id,_atom_site_anisotrop.pdbx_auth_alt_id,?,N,Y
,,atom_site_anisotrop,pdbx_auth_asym_id,_atom_site_anisotrop.pdbx_auth_asym_id,?,N,Y
,,atom_site_anisotrop,pdbx_auth_atom_id,_atom_site_anisotrop.pdbx_auth_atom_id,?,N,Y
,,atom_site_anisotrop,pdbx_auth_comp_id,_atom_site_anisotrop.pdbx_auth_comp_id,?,N,Y
,,atom_site_anisotrop,pdbx_auth_seq_id,_atom_site_anisotrop.pdbx_auth_seq_id,?,N,Y
,,atom_site_anisotrop,pdbx_label_alt_id,_atom_site_anisotrop.pdbx_label_alt_id,?,N,Y
,,atom_site_anisotrop,pdbx_label_asym_id,_atom_site_anisotrop.pdbx_label_asym_id,?,N,Y
