_Assembly_db_link.Database_code,'PDB',''Protein Data Bank'', 1,
_Assembly_db_link.Database_code,'BMRB',''BioMagResBank'', 2,
_Assembly_db_link.Database_code,'DBJ','enumeration_text', 3,
_Assembly_db_link.Database_code,'EMBL','enumeration_text', 4,
_Assembly_db_link.Database_code,'GB','enumeration_text', 5,
_Assembly_db_link.Database_code,'PIR','enumeration_text', 6,
_Assembly_db_link.Database_code,'PRF','enumeration_text', 7,
_Assembly_db_link.Database_code,'REF','enumeration_text', 8,
_Assembly_db_link.Database_code,'SP','enumeration_text', 9,
_Assembly_db_link.Database_code,'UNP','enumeration_text', 10,
_Assembly_db_link.Database_code,'NCBI','enumeration_text', 11,
_Assembly_db_link.Database_code,'PubMed',''NCBI PubMed'', 12,
_Assembly_db_link.Database_code,'SGD',''Saccharomyces Genome Database'', 13,
_Assembly_db_link.Database_code,'SMART',''Simple Modular Architecture Research Tool'', 14,
_Assembly_db_link.Database_code,'TargetDB',''Target registration database'', 15,
_Assembly_db_link.Database_code,'BMRB(withdrawn)',''BMRB withdrawn accession code'', 16,
_Assembly_db_link.Entry_experimental_method,'X-ray','enumeration_text', 1,
_Assembly_db_link.Entry_experimental_method,'solution NMR','enumeration_text', 2,
_Assembly_db_link.Entry_experimental_method,'solid-state NMR','enumeration_text', 3,
_Assembly_db_link.Entry_experimental_method,'FTIR','enumeration_text', 4,
_Assembly_db_link.Entry_experimental_method,'mass spectrometry','enumeration_text', 5,
_Assembly_db_link.Entry_experimental_method,'XAFS','enumeration_text', 6,
_Assembly_db_link.Entry_experimental_method,'NMR','enumeration_text', 7,
_Assembly_db_link.Entry_experimental_method,'X-ray crystallography','enumeration_text', 8,
_Assembly_db_link.Entry_experimental_method,'X-ray fiber diffraction','enumeration_text', 9,
_Assembly_db_link.Entry_experimental_method,'solid-state NMR and X-ray fiber diffraction','enumeration_text', 10,
_Assembly_db_link.Entry_experimental_method,'na','enumeration_text', 11,
_Assembly_interaction.Mol_interaction_type,'Extremely slow exchange','enumeration_text', 1,
_Assembly_interaction.Mol_interaction_type,'Slow exchange','enumeration_text', 2,
_Assembly_interaction.Mol_interaction_type,'Intermediate exchange','enumeration_text', 3,
_Assembly_interaction.Mol_interaction_type,'Fast exchange','enumeration_text', 4,
_Assembly_interaction.Mol_interaction_type,'No interaction','enumeration_text', 5,
_Assembly_interaction.Mol_interaction_type,'na','enumeration_text', 6,
_Assembly_systematic_name.Naming_system,'IUPAC','enumeration_text', 1,
_Assembly_systematic_name.Naming_system,'CAS name','enumeration_text', 2,
_Assembly_systematic_name.Naming_system,'CAS registry number','enumeration_text', 3,
_Assembly_systematic_name.Naming_system,'BMRB','enumeration_text', 4,
_Assembly_systematic_name.Naming_system,'Pfam','enumeration_text', 5,
_Assembly_systematic_name.Naming_system,'Swiss-Prot','enumeration_text', 6,
_Assembly_systematic_name.Naming_system,'MEROPS','enumeration_text', 7,
_Assembly_type.Type,'peptide','enumeration_text', 1,
_Assembly_type.Type,'protein monomer','enumeration_text', 2,
_Assembly_type.Type,'protein homo-multimer','enumeration_text', 3,
_Assembly_type.Type,'protein hetero-multimer','enumeration_text', 4,
_Assembly_type.Type,'RNA single strand','enumeration_text', 5,
_Assembly_type.Type,'RNA double strand','enumeration_text', 6,
_Assembly_type.Type,'DNA single strand','enumeration_text', 7,
_Assembly_type.Type,'DNA double strand','enumeration_text', 8,
_Assembly_type.Type,'DNA-RNA hybrid','enumeration_text', 9,
_Assembly_type.Type,'polysaccharide','enumeration_text', 10,
_Assembly_type.Type,'protein-nucleic acid complex','enumeration_text', 11,
_Assembly_type.Type,'protein-inhibitor complex','enumeration_text', 12,
_Assembly_type.Type,'protein-drug complex','enumeration_text', 13,
_Assembly_type.Type,'protein-ligand complex','enumeration_text', 14,
_Assembly_type.Type,'protein-protein complex','enumeration_text', 15,
_Assembly_type.Type,'protein-DNA complex','enumeration_text', 16,
_Assembly_type.Type,'protein-DNA-ligand complex','enumeration_text', 17,
_Assembly_type.Type,'protein-DNA-inhibitor complex','enumeration_text', 18,
_Assembly_type.Type,'protein-RNA complex','enumeration_text', 19,
_Assembly_type.Type,'protein-RNA-ligand complex','enumeration_text', 20,
_Assembly_type.Type,'protein-RNA-inhibitor complex','enumeration_text', 21,
_Assembly_type.Type,'protein-carbohydrate complex','enumeration_text', 22,
_Assembly_type.Type,'DNA-drug complex','enumeration_text', 23,
_Assembly_type.Type,'DNA-RNA complex','enumeration_text', 24,
_Assembly_type.Type,'RNA-drug complex','enumeration_text', 25,
_Assembly_type.Type,'non-polymer','enumeration_text', 26,
_Assembly.Thiol_state,'all disulfide bound','enumeration_text', 1,
_Assembly.Thiol_state,'all other bound','enumeration_text', 2,
_Assembly.Thiol_state,'all free','enumeration_text', 3,
_Assembly.Thiol_state,'not present','enumeration_text', 4,
_Assembly.Thiol_state,'not available','enumeration_text', 5,
_Assembly.Thiol_state,'unknown','enumeration_text', 6,
_Assembly.Thiol_state,'not reported','enumeration_text', 7,
_Assembly.Thiol_state,'free and disulfide bound','enumeration_text', 8,
_Assembly.Thiol_state,'free and other bound','enumeration_text', 9,
_Assembly.Thiol_state,'free disulfide and other bound','enumeration_text', 10,
_Assembly.Thiol_state,'disulfide and other bound','enumeration_text', 11,
_Atom_chem_shift.Ambiguity_code,'1','enumeration_text', 1,
_Atom_chem_shift.Ambiguity_code,'2','enumeration_text', 2,
_Atom_chem_shift.Ambiguity_code,'3','enumeration_text', 3,
_Atom_chem_shift.Ambiguity_code,'4','enumeration_text', 4,
_Atom_chem_shift.Ambiguity_code,'5','enumeration_text', 5,
_Atom_chem_shift.Ambiguity_code,'6','enumeration_text', 6,
_Atom_chem_shift.Ambiguity_code,'9','enumeration_text', 7,
_Atom_site.Ordered_flag,'1',''Flag indicating that the atom is in an ordered region of the structure.'', 1,
_Atom_site.Ordered_flag,'0',''Flag indicating that the atom is in a poorly ordered region of the structure.'', 2,
_Audit.Update_record,'Preliminary version','enumeration_text', 1,
_Audit.Update_record,'Nomenclature checked','enumeration_text', 2,
