Dictionary sequence,SFCategory,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,Item enumerated,Item enumeration closed,Data Type,Nullable,Row Index Key,Source Key,Table Primary Key,Foreign Table,Foreign Column,Loopflag,Seq,Example,SfNamelFlg,Sf category flag,Sf pointer,default value,Tag category,Tag field,BMRB data type,Dictionary description,?
,,,,,,,Y or N,Y N mY or mN,,,,,,,,,,,?,,,?,,?,?,dictionary,?
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
TBL_BEGIN,,3.2.1.32,,,,,,,,,,,,,,,,,?,,,,,,,,?
10,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Sf_category,N,,VARCHAR(127),NOT NULL,N,,,,,N,10,entry_interview,N,Y,N,?,Entry_interview,Sf_category,code,Category definition for the information content of the saveframe,?
20,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Sf_framecode,N,,VARCHAR(127),NOT NULL,N,,,,,N,20,entry_interview,Y,N,N,?,Entry_interview,Sf_framecode,framecode,A code that uniquely identifies the saveframe within the entry.  The code can be a human readable identifier that defines the contents of the saveframe (see the examples).,?
30,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Entry_ID,N,,CHAR(12),NOT NULL,N,,Y,Entry,ID,N,30,4567,N,N,N,?,Entry_interview,Entry_ID,code,Pointer to '_Entry.ID',?
40,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Sf_ID,N,,INTEGER,NOT NULL,N,,,,,N,40,34,N,N,N,?,Entry_interview,Sf_ID,int,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?
50,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.ID,N,,INTEGER,NOT NULL,N,,Y,,,N,50,1,N,N,N,?,Entry_interview,ID,int,Unique value identifying this saveframe of category entry_interview within an entry.,?
60,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.PDB_deposition,N,,BOOLEAN,,N,,,,,N,60,yes,N,N,N,?,Entry_interview,PDB_deposition,yes_no,Flag indicating that atomic coordinates are being deposited.,?
70,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.BMRB_deposition,N,,BOOLEAN,,N,,,,,N,70,yes,N,N,N,?,Entry_interview,BMRB_deposition,yes_no,Check this box$ if you are depositing NMR experimental data to be archived at the BioMagResBank.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,?
80,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.View_mode,Y,Y,VARCHAR(15),,N,,,,,N,80,PDB,N,N,N,BMRB Only,Entry_interview,View_mode,code,The 'view mode' buttons are used to select between a view of the PDB or the BMRB deposition requirements. The majority of the information you enter will apply to both a PDB and a BMRB deposition. When in the PDB view mode$ a deposition can be submitted to PDB and when in the BMRB view mode$ a deposition can be submitted to BMRB.,?
90,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Use_previous_BMRB_entry,N,,BOOLEAN,,N,,,,,N,90,no,N,N,N,no,Entry_interview,Use_previous_BMRB_entry,yes_no,A flag indicating that the PDB NMR structure deposition has been based on chemical shift data taken from an existing BMRB entry.,?
100,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Previous_BMRB_entry_used,N,,VARCHAR(15),,N,,,,,N,100,15345,N,N,N,?,Entry_interview,Previous_BMRB_entry_used,code,The BMRB accession code for the BMRB entry with the chemical shift data used in the determination of the deposited coordinate file.,?
110,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Previous_BMRB_entry_owner,N,,BOOLEAN,,N,,,,,N,110,no,N,N,N,no,Entry_interview,Previous_BMRB_entry_owner,yes_no,A flag indicating that the BMRB entry from which chemical shift data was used to determine a structure was (yes) taken from another research group or was not (no).,?
120,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Structural_genomics,N,,BOOLEAN,,N,,,,,N,120,no,N,N,N,no,Entry_interview,Structural_genomics,yes_no,Flag indicating if the deposition originates from a structural genomics project.,?
130,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Ligands,N,,BOOLEAN,,N,,,,,N,130,yes,N,N,N,no,Entry_interview,Ligands,yes_no,Flag indicating the presence of ligands$ metal ions$ or other small molecules in the molecular system studied.,?
140,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Non_standard_residues,N,,BOOLEAN,,N,,,,,N,140,no,N,N,N,no,Entry_interview,Non_standard_residues,yes_no,Flag indicating the presence of non-standard residues in one or more biopolymers in the molecular system studied.,?
150,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Constraints,N,,BOOLEAN,,N,,,,,N,150,yes,N,N,N,no,Entry_interview,Constraints,yes_no,Flag indicating that structural constraints are being deposited.,?
160,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Assigned_chem_shifts,N,,BOOLEAN,,N,,,,,N,160,yes,N,N,N,no,Entry_interview,Assigned_chem_shifts,yes_no,Flag indicating that assigned chemical shifts are being deposited.,?
170,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Coupling_constants,N,,BOOLEAN,,N,,,,,N,170,no,N,N,N,no,Entry_interview,Coupling_constants,yes_no,Flag indicating that scalar coupling constants are being deposited.,?
180,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Chem_shift_isotope_effect,N,,BOOLEAN,,N,,,,,N,180,no,N,N,N,no,Entry_interview,Chem_shift_isotope_effect,yes_no,Flag indicating that chemical shift isotope data are being deposited.,?
190,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Chem_shift_perturbation,N,,BOOLEAN,,N,,,,,N,190,no,N,N,N,no,Entry_interview,Chem_shift_perturbation,yes_no,Flag indicating that chemical shift perturbation are being deposited.,?
200,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Auto_relaxation,N,,BOOLEAN,,N,,,,,N,200,no,N,N,N,no,Entry_interview,Auto_relaxation,yes_no,Flag indicating that auto relaxation data are being deposited.,?
210,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Tensor,N,,BOOLEAN,,N,,,,,N,210,yes,N,N,N,no,Entry_interview,Tensor,yes_no,Flag indicating that tensor data are being deposited.,?
220,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Interatomic_distance,N,,BOOLEAN,,N,,,,,N,220,yes,N,N,N,no,Entry_interview,Interatomic_distance,yes_no,Flag indicating that interatomic distance data are being deposited.,?
230,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Chem_shift_anisotropy,N,,BOOLEAN,,N,,,,,N,230,yes,N,N,N,no,Entry_interview,Chem_shift_anisotropy,yes_no,Flag indicating that chemical shift anisotropy values are being deposited.,?
240,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_NOEs,N,,BOOLEAN,,N,,,,,N,240,yes,N,N,N,no,Entry_interview,Heteronucl_NOEs,yes_no,Flag indicating that heteronuclear NOEs are being deposited.,?
250,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_T1_relaxation,N,,BOOLEAN,,N,,,,,N,250,yes,N,N,N,no,Entry_interview,Heteronucl_T1_relaxation,yes_no,Flag indicating that heteronuclear T1 relaxation values are being deposited.,?
260,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_T2_relaxation,N,,BOOLEAN,,N,,,,,N,260,no,N,N,N,no,Entry_interview,Heteronucl_T2_relaxation,yes_no,Flag indicating that heteronuclear T2 relaxation values are being deposited.,?
270,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Heteronucl_T1rho_relaxation,N,,BOOLEAN,,N,,,,,N,270,yes,N,N,N,no,Entry_interview,Heteronucl_T1rho_relaxation,yes_no,Flag indicating that heteronuclear T1rho relaxation values are being deposited.,?
280,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Order_parameters,N,,BOOLEAN,,N,,,,,N,280,yes,N,N,N,no,Entry_interview,Order_parameters,yes_no,Flag indicating that order parameter values are being deposited.,?
290,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Dynamics_trajectory,N,,BOOLEAN,,N,,,,,N,290,yes,N,N,N,no,Entry_interview,Dynamics_trajectory,yes_no,Flag indicating that a molecular dynamics trajectory file is being deposited.,?
300,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Movie,N,,BOOLEAN,,N,,,,,N,300,yes,N,N,N,no,Entry_interview,Movie,yes_no,Flag indicating that a movie file is being deposited.,?
310,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Image_file,N,,BOOLEAN,,N,,,,,N,310,no,N,N,N,no,Entry_interview,Image_file,yes_no,Flag indicating that an image file is being deposited.,?
320,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Residual_dipolar_couplings,N,,BOOLEAN,,N,,,,,N,320,no,N,N,N,no,Entry_interview,Residual_dipolar_couplings,yes_no,Flag indicating that residual dipolar coupling values are being deposited.,?
330,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.H_exchange_rate,N,,BOOLEAN,,N,,,,,N,330,no,N,N,N,no,Entry_interview,H_exchange_rate,yes_no,Flag indicating that hydrogen exchange values are being deposited.,?
340,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.H_exchange_protection_factors,N,,BOOLEAN,,N,,,,,N,340,no,N,N,N,no,Entry_interview,H_exchange_protection_factors,yes_no,Flag indicating that hydrogen exchange protection factor values are being deposited.,?
350,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Chem_rate_constants,N,,BOOLEAN,,N,,,,,N,350,no,N,N,N,no,Entry_interview,Chem_rate_constants,yes_no,Flag indicating that chemical rate constant values are being deposited.,?
360,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Spectral_peak_lists,N,,BOOLEAN,,N,,,,,N,360,no,N,N,N,no,Entry_interview,Spectral_peak_lists,yes_no,Flag indicating that spectral peak lists are being deposited.,?
370,entry_interview,1,entry_information,8,Entry interview,_Entry_interview.Dipole_dipole_couplings,N,,BOOLEAN,,N,,,,,N,370,no,N,N,N,no,Entry_interview,Dipole_dipole_couplings,yes_no,Flag indicating that dipole-dipole coupling values are being deposited.,?
