Enumeration ID,Sf category,Tag
TBL_BEGIN,?,?
1,entry_interview,_Entry_interview.PDB_deposition
2,entry_interview,_Entry_interview.BMRB_deposition
3,entry_interview,_Entry_interview.View_mode
4,entry_interview,_Entry_interview.Structural_genomics
5,entry_interview,_Entry_interview.Ligands
6,entry_interview,_Entry_interview.Non_standard_residues
7,entry_interview,_Entry_interview.Constraints
8,entry_interview,_Entry_interview.Assigned_chem_shifts
9,entry_interview,_Entry_interview.Coupling_constants
10,entry_interview,_Entry_interview.Chem_shift_anisotropy
11,entry_interview,_Entry_interview.Heteronucl_NOEs
12,entry_interview,_Entry_interview.Heteronucl_T1_relaxation
13,entry_interview,_Entry_interview.Heteronucl_T2_relaxation
14,entry_interview,_Entry_interview.Heteronucl_T1rho_relaxation
15,entry_interview,_Entry_interview.Order_parameters
16,entry_interview,_Entry_interview.Residual_dipolar_couplings
17,entry_interview,_Entry_interview.H_exchange_rate
18,entry_interview,_Entry_interview.H_exchange_protection_factors
19,entry_interview,_Entry_interview.Spectral_peak_lists
20,entry_interview,_Entry_interview.Dipole_dipole_couplings
21,entry_interview,_Entry_interview.Quadrupolar_couplings
22,entry_interview,_Entry_interview.Homonucl_NOEs
23,entry_interview,_Entry_interview.Dipole_dipole_relaxation
24,entry_interview,_Entry_interview.DD_cross_correlation
25,entry_interview,_Entry_interview.Dipole_CSA_cross_correlation
26,entry_interview,_Entry_interview.PKa_value_data_set
27,entry_interview,_Entry_interview.D_H_fractionation_factors
28,entry_interview,_Entry_interview.Theoretical_chem_shifts
29,entry_interview,_Entry_interview.Spectral_density_values
30,entry_interview,_Entry_interview.Timedomain_data
31,entry_interview,_Entry_interview.Molecular_interactions
32,entry_interview,_Entry_interview.Secondary_structure_orientations
33,entry_interview,_Entry_interview.Metabolite_coordinates
34,entry_interview,_Entry_interview.Mass_spec_data
35,entry_interview,_Entry_interview.Other_kind_of_data
36,deposited_data_files,_Deposited_data_files.Atomic_coordinate_file_syntax
37,deposited_data_files,_Deposited_data_files.Constraint_file_syntax
38,deposited_data_files,_Upload_data.Data_file_Sf_category
39,deposited_data_files,_Upload_data.Data_file_syntax
40,study_list,_Study.Type
41,entry_information,_Entry.Version_type
42,entry_information,_Entry.NMR_STAR_version
43,entry_information,_Entry.Original_NMR_STAR_version
44,entry_information,_Entry.Experimental_method
45,entry_information,_Entry.Experimental_method_subtype
46,entry_information,_Entry.Dep_release_code_coordinates
47,entry_information,_Entry.Dep_release_code_nmr_constraints
48,entry_information,_Entry.Dep_release_code_nmr_exptl
49,entry_information,_Entry.Dep_release_code_sequence
50,entry_information,_Entry.CASP_target
51,entry_information,_Entry.Release_request
52,entry_information,_Contact_person.Name_salutation
53,entry_information,_Contact_person.Role
54,entry_information,_Contact_person.Organization_type
55,entry_information,_SG_project.Project_name
56,entry_information,_SG_project.Full_name_of_center
57,entry_information,_SG_project.Initial_of_center
58,entry_information,_Entry_src.Project_name
59,entry_information,_Entry_src.Organization_full_name
60,entry_information,_Entry_src.Organization_initials
61,entry_information,_Data_set.Type
62,entry_information,_Datum.Type
63,entry_information,_Related_entries.Database_name
64,citations,_Citation.Class
65,citations,_Citation.Status
66,citations,_Citation.Type
67,citations,_Citation.Journal_abbrev
68,citations,_Citation_author.Family_title
69,citations,_Citation_editor.Family_title
70,assembly,_Assembly.Thiol_state
71,assembly,_Assembly_type.Type
72,assembly,_Entity_assembly.Physical_state
73,assembly,_Struct_asym.PDBX_blank_PDB_chainid_flag
74,assembly,_Struct_asym.PDBX_modified
75,assembly,_Assembly_db_link.Database_code
76,assembly,_Assembly_db_link.Entry_experimental_method
77,assembly,_Assembly_systematic_name.Naming_system
78,assembly,_Assembly_interaction.Mol_interaction_type
79,entity,_Entity.Type
80,entity,_Entity.Polymer_common_type
81,entity,_Entity.Polymer_type
82,entity,_Entity.Nstd_monomer
83,entity,_Entity.Thiol_state
84,entity,_Entity_db_link.Database_code
85,entity,_Entity_db_link.Entry_experimental_method
86,entity,_Entity_systematic_name.Naming_system
87,natural_source,_Entity_natural_src.Type
88,natural_source,_Entity_natural_src.Organism_name_scientific
89,natural_source,_Entity_natural_src.Superkingdom
90,natural_source,_Entity_natural_src.Kingdom
91,natural_source,_Entity_natural_src.Organ
92,natural_source,_Entity_natural_src.Tissue
93,natural_source,_Entity_natural_src.Organelle
94,natural_source,_Entity_natural_src.Secretion
95,experimental_source,_Entity_experimental_src.Production_method
96,experimental_source,_Entity_experimental_src.Host_org_scientific_name
97,experimental_source,_Entity_experimental_src.Vector_type
98,chem_comp,_Chem_comp.Type
99,chem_comp,_Chem_comp.Formal_charge
100,chem_comp,_Chem_comp.Paramagnetic
101,chem_comp,_Chem_comp.Aromatic
102,chem_comp,_Chem_comp.Image_file_name
103,chem_comp,_Chem_comp.Image_file_format
104,chem_comp,_Chem_comp.Vendor
105,chem_comp,_Chem_comp_common_name.Type
106,chem_comp,_Chem_comp_descriptor.Type
107,chem_comp,_Chem_comp_descriptor.Program
108,chem_comp,_Chem_comp_identifier.Type
109,chem_comp,_Chem_comp_identifier.Program
110,chem_comp,_Chem_comp_systematic_name.Naming_system
111,chem_comp,_Chem_comp_atom.Chirality
112,chem_comp,_Chem_comp_atom.Substruct_code
113,sample,_Sample.Type
114,sample,_Sample.Solvent_system
115,sample,_Sample_component.Mol_common_name
116,sample,_Sample_component.Isotopic_labeling
117,sample,_Sample_component.Concentration_val_units
118,sample_conditions,_Sample_condition_variable.Type
119,sample_conditions,_Sample_condition_variable.Val_units
120,software,_Software.Sf_framecode
121,software,_Software.Name
122,software,_Vendor.Name
123,software,_Task.Task
124,Mass_spectrometer,_Mass_spectrometer.Manufacturer
125,Mass_spectrometer,_Mass_spectrometer.Model
126,Mass_spectrometer,_Mass_spectrometer.Type
127,Mass_spectrometer_list,_Mass_spectrometer_view.Manufacturer
128,Mass_spectrometer_list,_Mass_spectrometer_view.Model
129,Mass_spectrometer_list,_Mass_spectrometer_view.Type
130,chromatographic_system,_Chromatographic_system.Pump_manufacturer
131,chromatographic_system,_Chromatographic_system.Pump_model
132,chromatographic_system,_Chromatographic_column.Vendor
133,chromatographic_system,_Chromatographic_column.Type
134,NMR_spectrometer,_NMR_spectrometer.Manufacturer
135,NMR_spectrometer,_NMR_spectrometer.Model
136,NMR_spectrometer,_NMR_spectrometer.Field_strength
137,NMR_spectrometer_list,_NMR_spectrometer_view.Manufacturer
138,NMR_spectrometer_list,_NMR_spectrometer_view.Model
139,NMR_spectrometer_list,_NMR_spectrometer_view.Field_strength
140,NMR_spectrometer_probe,_NMR_spectrometer_probe.Manufacturer
141,NMR_spectrometer_probe,_NMR_spectrometer_probe.Spacer_present
142,NMR_spectrometer_probe,_NMR_probe.Type
143,experiment_list,_Experiment.Name
144,experiment_list,_Experiment.Raw_data_flag
145,experiment_list,_Experiment.Sample_state
146,NMR_spectrometer_expt,_NMR_spec_expt.Type
