Order of operation,Sf category,Tag category,Tag,Override view value,Conditional tag category,Conditional tag,Override value
TBL_BEGIN,,,,,,,?
1120,citations,Citation,_Citation.Journal_abbrev,Y,Citation,_Citation.Type,journal
1130,citations,Citation,_Citation.Journal_name_full,H,Citation,_Citation.Type,journal
1140,citations,Citation,_Citation.Journal_volume,N,Citation,_Citation.Type,journal
1150,citations,Citation,_Citation.Journal_issue,N,Citation,_Citation.Type,journal
1160,citations,Citation,_Citation.Journal_ASTM,H,Citation,_Citation.Type,journal
1170,citations,Citation,_Citation.Journal_ISSN,H,Citation,_Citation.Type,journal
1180,citations,Citation,_Citation.Journal_CSD,H,Citation,_Citation.Type,journal
1190,citations,Citation,_Citation.Book_title,Y,Citation,_Citation.Type,book
1200,citations,Citation,_Citation.Book_chapter_title,Y,Citation,_Citation.Type,book
1210,citations,Citation,_Citation.Book_volume,N,Citation,_Citation.Type,book
1220,citations,Citation,_Citation.Book_series,N,Citation,_Citation.Type,book
1230,citations,Citation,_Citation.Book_publisher,Y,Citation,_Citation.Type,book
1240,citations,Citation,_Citation.Book_publisher_city,Y,Citation,_Citation.Type,book
1250,citations,Citation,_Citation.Book_ISBN,H,Citation,_Citation.Type,book
1260,citations,Citation,_Citation.Conference_title,Y,Citation,_Citation.Type,abstract
1270,citations,Citation,_Citation.Conference_site,Y,Citation,_Citation.Type,abstract
1280,citations,Citation,_Citation.Conference_state_province,Y,Citation,_Citation.Type,abstract
1290,citations,Citation,_Citation.Conference_country,Y,Citation,_Citation.Type,abstract
1300,citations,Citation,_Citation.Conference_start_date,Y,Citation,_Citation.Type,abstract
1310,citations,Citation,_Citation.Conference_end_date,Y,Citation,_Citation.Type,abstract
1320,citations,Citation,_Citation.Conference_abstract_number,Y,Citation,_Citation.Type,abstract
1330,citations,Citation,_Citation.Thesis_institution,Y,Citation,_Citation.Type,thesis
1340,citations,Citation,_Citation.Thesis_institution_city,Y,Citation,_Citation.Type,thesis
1350,citations,Citation,_Citation.Thesis_institution_country,Y,Citation,_Citation.Type,thesis
1360,citations,Citation,_Citation.WWW_URL,Y,Citation,_Citation.Type,internet
1370,citations,Citation,_Citation.Page_first,Y,Citation,_Citation.Type,*
1380,citations,Citation,_Citation.Page_last,Y,Citation,_Citation.Type,*
1390,citations,Citation,_Citation.Year,Y,Citation,_Citation.Type,*
1400,citations,Citation,_Citation.Details,N,Citation,_Citation.Type,*
1410,citations,Citation_author,_Citation_author.Ordinal,H,Citation,_Citation.Type,*
