category_super_group_ID,category_super_group,category_group_ID,saveframe_category,mandatory_number,ADIT replicable,allowed_user_defined_framecode,validateFlgs,viewFlags,category_group_view_name,group_view_help
,-------------------------------,----------------,--------------,---------,-----------,---------,BMRB biopolymer public release,public,-----------,------------
TBL_BEGIN,,,,,,,validate,viewFlags,,
1,entry_information,9,deposited_data_files,1,N,N,IIMOIO,HHHHHH,Deposit data files,To upload data files from your system to BMRB$ in the fields provided$ select a data file from your local directory system$ and define the kind of data in the file. If the file contains more than one kind of data$ please indicate in the entry interview each kind of data that you are depositing.
1,entry_information,8,entry_interview,1,N,N,IIMOIO,NHHHHH,Entry interview,Select the type of deposition you would like to start (BMRB only or PDB/BMRB). The information entered as you complete the deposition will apply to both a BMRB only and a PDB/BMRB deposition. At any time$ you can switch between a BMRB only and a PDB/BMRB deposition using the 'View mode' buttons in the upper left hand corner of the interface. Additional information describing the deposition process can be obtained by clicking on the 'Help' button at the top of the page.
1,entry_information,10,study_list,,N,Y,OOOOOO,NHHHHH,Studies,A study is made up of one or more entries.  You may define a name and type of study conducted and provide the entry(s) that compose the study.  If a study is not defined$ it will be assumed that the entry is the only member of a study and information provided for the entry will be used to poplulate corresponding tags in the study section to produce the final entry.
1,entry_information,20,entry_information,1,N,N,MMMMMM,NHHHHH,Entry information,Provide information that describes the entry and the people responsible for the deposition. For the contact people$ please enter the e-mail address first. If the person is a prior depositor at the BMRB$ many of the additional fields for the contact person may be filled in automatically.
2,citations,40,citations,1,Y,Y,MMMMMM,NHHHHH,Citations,The title$ authors$ and reference information for a citation are entered in this section.
3,assembly_supercategory,50,chem_comp,,Y,Y,OOOOMM,HHHHHH,Ligands$ cofactors$ etc.,Enter a description for each chemically unique ligand molecule or non-standard biopolymer residue (chemical component) in the molecular system. If the chemical component exists in the PDB Ligand Depot$ simply enter the PDB chemical component ID for the compound in the appropriate field and click on the 'Save Changes' button. More help can be found <a href='http://www.bmrb.wisc.edu/deposit/mol_assembly' TARGET='_blank'> here </a>.
3,assembly_supercategory,60,entity,1,Y,Y,MMMMMM,NHHHHH,Molecular entity,A molecular entity is a chemically unique molecule (polymer or nonpolymer) in the system studied. For a homodimer$ a description of one monomer is required.  For a heterodimer (non palindromic DNA$ protein-protein complex$ DNA-RNA complex) or a biopolymer ligand complex$ both molecules need to be described by completing two molecular entity forms. For more complex molecular systems$ additional molecular entity forms may need to be filled out. Nonpolymers (ligands$ metal ions$ etc.) are described briefly here and more completely in the section for ligands. More help can be found <a href='http://www.bmrb.wisc.edu/deposit/mol_assembly' TARGET='_blank'> here </a>.
3,assembly_supercategory,70,assembly,1,Y,Y,MMMMII,NHHHHH,Molecular assembly,The molecular assembly is the set of all molecules that make up the system studied. Simple examples include a single polypeptide chain$ a homodimer consisting of two components$ a duplex DNA system that has two components$ or protein ligand complex that has two components. A more detailed description for molecular assembly is found <a href='http://www.bmrb.wisc.edu/deposit/mol_assembly' TARGET='_blank'> here </a>.
3,assembly_supercategory,80,assembly_annotation,,Y,Y,OOOOII,HHHHHH,Molecular assembly annotation,Authors may use this section to provide unique annotation for the molecular assembly studied.
3,assembly_supercategory,90,assembly_subsystems,,Y,Y,OOOOII,HHHHHH,Molecular assembly subsystem descriptions,Subsystems of the complete molecular assembly may be defined using this section.
3,assembly_supercategory,100,natural_source,1,N,N,MMMMII,NHHHHH,Natural source,Provide the natural source for all biopolymers in the molecular assembly that was studied.  The natural source for organic and inorganic ligands is not required.
3,assembly_supercategory,110,experimental_source,1,N,N,MMMMII,NHHHHH,Experimental source,Enter the source used to produce the biopolymers studied in this entry.  In most cases$ this would be the host organism and plasmid used to overproduce a protein. If the biopolymer was chemically synthesized or purchased from a vendor$ please make the appropriate selection in the production method field and then click on 'Save changes'. This will modify the number and types of data fields that appear in the interface.
4,experimental_details,130,sample,,Y,Y,MMMMMM,NHHHHH,Sample,Enter the complete contents for each sample used in the study.  This includes the molecules in the study (biopolymers and ligands)$ buffers$ salts$ and additives such as DTT$ etc.
