Enumeration ID,Enum ordinal,Enum value,Enum value desc
TBL_BEGIN,?,?,?
83,1,yes,enumeration_text
83,2,no,enumeration_text
84,1,yes,enumeration_text
84,2,no,enumeration_text
85,1,yes,enumeration_text
85,2,no,enumeration_text
86,1,yes,enumeration_text
86,2,no,enumeration_text
87,1,yes,enumeration_text
87,2,no,enumeration_text
88,1,all disulfide bound,enumeration_text
88,2,all other bound,enumeration_text
88,3,all free,enumeration_text
88,4,not present,enumeration_text
88,5,not available,enumeration_text
88,6,unknown,enumeration_text
88,7,not reported,enumeration_text
88,8,free and disulfide bound,enumeration_text
88,9,free and other bound,enumeration_text
88,10,free disulfide and other bound,enumeration_text
88,11,disulfide and other bound,enumeration_text
97,1,PDB,"Protein Data Bank"
97,2,BMRB,"BioMagResBank"
97,3,DBJ,enumeration_text
97,4,EMBL,enumeration_text
97,5,GB,enumeration_text
97,6,NDB,"Nucleic Acid Data Bank"
97,7,PIR,enumeration_text
97,8,PRF,enumeration_text
97,9,REF,enumeration_text
97,10,SP,enumeration_text
97,11,UNP,enumeration_text
96,1,yes,enumeration_text
96,2,no,enumeration_text
98,1,X-ray,enumeration_text
98,2,solution NMR,enumeration_text
98,3,solid-state NMR,enumeration_text
98,4,FTIR,enumeration_text
98,5,mass spectrometry,enumeration_text
98,6,XAFS,enumeration_text
100,1,Extremely slow exchange,enumeration_text
100,2,Slow exchange,enumeration_text
100,3,Intermediate exchange,enumeration_text
100,4,Fast exchange,enumeration_text
100,5,No interaction,enumeration_text
99,1,IUPAC,enumeration_text
99,2,CAS name,enumeration_text
99,3,CAS registry number,enumeration_text
99,4,BMRB,enumeration_text
89,1,protein monomer,enumeration_text
89,2,protein homo-multimer,enumeration_text
89,3,protein hetero-multimer,enumeration_text
89,4,RNA single strand,enumeration_text
89,5,RNA double strand,enumeration_text
89,6,DNA single strand,enumeration_text
89,7,DNA double strand,enumeration_text
89,8,DNA-RNA hybrid,enumeration_text
89,9,polysaccharide,enumeration_text
89,10,protein-nucleic acid complex,enumeration_text
89,11,protein-inhibitor complex,enumeration_text
89,12,protein-drug complex,enumeration_text
89,13,protein-ligand complex,enumeration_text
89,14,protein-protein complex,enumeration_text
89,15,protein-DNA complex,enumeration_text
89,16,protein-DNA-ligand complex,enumeration_text
89,17,protein-DNA-inhibitor complex,enumeration_text
89,18,protein-RNA complex,enumeration_text
89,19,protein-RNA-ligand complex,enumeration_text
89,20,protein-RNA-inhibitor complex,enumeration_text
89,21,protein-carbohydrate complex,enumeration_text
89,22,DNA-drug complex,enumeration_text
89,23,DNA-RNA complex,enumeration_text
89,24,RNA-drug complex,enumeration_text
216,1,1,enumeration_text
216,2,2,enumeration_text
216,3,3,enumeration_text
216,4,4,enumeration_text
216,5,5,enumeration_text
216,6,6,enumeration_text
216,7,9,enumeration_text
320,1,1,"Flag indicating that the atom is in an ordered region of the structure."
320,2,0,"Flag indicating that the atom is in a poorly ordered region of the structure."
102,1,yes,enumeration_text
102,2,no,enumeration_text
301,1,?,enumeration_text
302,1,anisotropic,enumeration_text
302,2,isotropic,enumeration_text
360,1,?,enumeration_text
361,1,isotropic,enumeration_text
361,2,anisotropic,enumeration_text
361,3,solid,enumeration_text
136,1,yes,enumeration_text
136,2,no,enumeration_text
135,1,yes,enumeration_text
135,2,no,enumeration_text
130,1,BMRB,enumeration_text
130,2,PDB,enumeration_text
130,3,PubChem,enumeration_text
133,1,yes,enumeration_text
133,2,no,enumeration_text
132,1,yes,enumeration_text
132,2,no,enumeration_text
151,1,yes,enumeration_text
151,2,no,enumeration_text
152,1,yes,enumeration_text
152,2,no,enumeration_text
154,1,yes,enumeration_text
154,2,no,enumeration_text
157,1,yes,enumeration_text
157,2,no,enumeration_text
