Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,DbSpace,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,sg/public,sg/internal,usr/public,usr/internal,Overide publiM,Overide internal,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,Overide usr/internal,default value,Adit form code,Tag category,Tag field,Local key
,,H or Y,R T1-T7,,,,,,dash = not in current BMRB,M-Mc-S-Sc-O-SX=AUTO FOR SG-X = AUTO-DEFER,Y/N,Current group,,Y/N,H=Hidden Y=mandatory or N=optional,H Y or N,H Y or N,H Y or N,H Y or N,Y or N,Y N mY or mN,,,,source tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,?,?,?,?,,valid for insertion in the relational database,public version of SG entry,valid SG entry for insertion in relational data base,,?,,,,,,?,?,?,,?,?
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,View,View,View,View,View,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,Validate,Validate,Validate,Validate,Validate,Validate,Overide,Overide,Overide,Overide,Overide,Overide,77,78,79,80,81
TBL_BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,?,?,?,?,,,,,,?,,,,,,?,?,?,,?,?
10,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,Y,EntryInterview,SfCategory,N,N,,,,,,,,,N,10,,,,,,1,?,n/a,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,I,V,I,V,I,V,I,V,I,V,I,V,?,0,Entry_interview,Sf_category,?
20,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,Y,EntryInterview,SfFramecode,N,N,,,,,,,,,N,20,,,,,,1,?,n/a,A code that uniquely identifies the saveframe within the entry.  The code can be a human readable identifier that defines the contents of the saveframe (see the examples).,?,?,Y,Y,Y,N,N,N,?,?,?,I,V,I,V,I,V,I,V,I,V,I,V,?,0,Entry_interview,Sf_framecode,?
30,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,Y,EntryInterview,EntryID,N,N,,,,Entry,ID,,,,N,30,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,I,V,I,V,I,V,I,V,I,V,I,V,?,0,Entry_interview,Entry_ID,Y
40,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,EntryInterview,SfID,N,Y,,Y,,,,,,,N,40,,,,,,1,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,V,I,V,I,V,?,0,Entry_interview,Sf_ID,?
50,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.ID,,,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,Y,EntryInterview,EntryInterviewID,N,N,,,,,,,,,N,50,,,,,,1,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,V,I,V,I,V,?,0,Entry_interview,ID,?
60,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Assembly_type,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Assembly type,VARCHAR(127),NOT NULL,Y,EntryInterview,AssemblyType,N,N,,,,,,,,,N,60,,,17,,,0,?,Select the type of molecular system that was studied.,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,V,I,V,I,V,?,1,Entry_interview,Assembly_type,?
70,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Ligands,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Ligands,VARCHAR(3),NOT NULL,Y,EntryInterview,Ligands,N,N,,,,,,,,,N,70,,,3,,,0,?,<p align='left'><FONT COLOR='#000000'>Please check the box next to the following statements that are relevant to your deposition.</p></td><td colspan='99'></tr><tr><td><font SIZE=3 COLOR='#900000'><b>The system contains a metal and/or organic ligand,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,V,I,V,I,V,no,6,Entry_interview,Ligands,?
