dictionarySeq,originalCategory,aditCatManFlg,aditCatViewType,aditSuperCatID,aditSuperCatName,aditCatGrpID,aditCatViewName,aditInitialRows,originalTag,aditExists,aditViewFlgs,enumeratedFlg,itemEnumClosedFlg,aditItemViewName,aditFormCode,dbType,bmrbType,dbNullable,internalFlg,rowIndexFlg,lclIDFlg,lclSfIdFlg,sfIdFlg,sfLabelFlg,sfCategoryFlg,sfFramecodeFlg,primaryKey,foreignKeyGroup,foreignTable,foreignColumn,indexFlg,dbTableName,dbColumnName,tagCategory,tagField,loopFlg,seq,dbFlg,validateFlgs,valOverideFlgs,defaultValue,bmrbPdbMatchId,bmrbPdbTransFunc,variableTypeMatch,entryIdFlg,OutputMapExistsFlg,aditAutoInsert,datumCountFlgs,metaDataFlgs,tagDeleteFlgs,RefKeyGroup,RefTable,RefColumn,example
TBL_BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
10,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Sf_category,Y,HHHHH,N,,Sf category,0,VARCHAR(127),code,NOT NULL,Y,N,?,?,N,N,Y,N,,,,,,EntryInterview,SfCategory,Entry_interview,Sf_category,N,10,Y,IVIVIV,IIIIII,?,?,?,,N,?,1,?,Y,N,?,?,?,?
20,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Sf_framecode,Y,HHHHH,N,,Sf framecode,0,VARCHAR(127),framecode,NOT NULL,Y,N,?,?,N,Y,N,N,,,,,,EntryInterview,SfFramecode,Entry_interview,Sf_framecode,N,20,Y,IVIVIV,IIIIII,?,?,?,,N,?,2,?,Y,N,?,?,?,?
30,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Entry_ID,Y,HHHHH,N,,Entry ID,0,CHAR(12),code,NOT NULL,Y,N,Y,?,N,N,N,N,Y,,Entry,ID,,EntryInterview,EntryID,Entry_interview,Entry_ID,N,30,Y,IVIVIV,IIIIII,?,?,?,,Y,?,3,?,Y,N,1,Entry,ID,?
40,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Sf_ID,Y,HHHHH,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,,,,EntryInterview,SfID,Entry_interview,Sf_ID,N,40,Y,IVIVIV,IIIIII,?,?,?,,N,?,4,?,Y,N,?,?,?,?
50,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.ID,Y,HHHHH,N,,ID,0,INTEGER,int,NOT NULL,Y,N,?,Y,N,N,N,N,Y,,,,,EntryInterview,EntryInterviewID,Entry_interview,ID,N,50,Y,IVIVIV,IIIIII,?,?,?,,N,?,5,?,Y,N,?,?,?,?
60,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.PDB_deposition,Y,HHHHH,Y,Y,PDB deposition,6,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,PDBDeposition,Entry_interview,PDB_deposition,N,60,Y,IVIVIV,IIIIII,yes,?,?,,N,?,0,?,Y,N,?,?,?,?
70,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.BMRB_deposition,Y,HHHHH,Y,Y,BMRB deposition,6,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,BMRBDeposition,Entry_interview,BMRB_deposition,N,70,Y,IVIVIV,IIIIII,yes,?,?,,N,?,0,?,Y,N,?,?,?,?
80,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.View_mode,Y,YHHHH,Y,Y,View mode,4,VARCHAR(15),code,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,ViewMode,Entry_interview,View_mode,N,80,Y,IVIVIV,IIIIII,?,?,?,,N,?,0,?,Y,N,?,?,?,?
90,entry_interview,Y,R,1,entry_information,8,Entry interview,,_Entry_interview.Structural_genomics,Y,HHHHH,Y,Y,Structural genomics,5,VARCHAR(3),yes_no,,Y,N,?,?,N,N,N,N,,,,,,EntryInterview,StructuralGenomics,Entry_interview,Structural_genomics,N,90,Y,IVIVIV,IIIIII,no,?,?,,N,?,0,?,Y,N,?,?,?,?
