Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,metabolomics,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
,,H; N; or Y,R T1-T7,,,,,,dash = not in current BMRB,M-Mc-S-Sc-O-SX=AUTO FOR SG-X = AUTO-DEFER,Y/N,Current group,,Y/N,H=Hidden Y=mandatory or N=optional,H Y or N,H Y or N,H Y or N,H Y or N,Y or N,Y N mY or mN,,,,source tag,,,,,,,,,,,,,,,,,,,,,,,,,,,description,,,,,?,,,?,?,?,?,,valid meta data,public,internal,public,internal,public,internal,public,internal,public,internal,?,?,,?,?,?,?,?,flag,flag,?,Existence (1=both; 2=STAR only; 3=curated only),?,,?,dictionary,,,?,?,,,,Interface,,,,Interface,?,?
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,View,View,View,View,View,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,Validate,Validate,Validate,Validate,Validate,Validate,Overide,Overide,Overide,Overide,Overide,Overide,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
TBL_BEGIN,,new,3.0.8.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,35,,,,,,,,,,,?,,,?,?,?,?,,,,,,,,,,,,?,?,?,,?,?,?,?,?,?,?,?,,,,?,?,,,?,?,,,,?,,,,?,?,?
10,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(127),NOT NULL,Y,EntryInterview,SfCategory,N,N,,,,,,,,,N,10,,,,,,1,entry_interview,n/a,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,0,Entry_interview,Sf_category,?,?,?,?,Y,N,code,,?,?,?,Category definition for the information content of the saveframe,,N,?,?,Entry interview,entry_interview,n/a,Category definition for the information content of the saveframe,Entry interview,entry_interview,n/a,Category definition for the information content of the saveframe,?,?
20,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,Y,EntryInterview,SfFramecode,N,N,,,,,,,,,N,20,,,,,,2,entry_interview,n/a,A code that uniquely identifies the saveframe within the entry.  The code can be a human readable identifier that defines the contents of the saveframe (see the examples).,?,?,Y,Y,Y,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,0,Entry_interview,Sf_framecode,?,?,?,?,Y,N,framecode,,?,?,?,A code that uniquely identifies the saveframe within the entry.  The code can be a human readable identifier that defines the contents of the saveframe (see the examples).,,N,?,?,Entry interview,entry_interview,n/a,A code that uniquely identifies the saveframe within the entry.  The code can be a human readable identifier that defines the contents of the saveframe (see the examples).,Entry interview,entry_interview,n/a,A code that uniquely identifies the saveframe within the entry.  The code can be a human readable identifier that defines the contents of the saveframe (see the examples).,?,?
30,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,Y,EntryInterview,EntryID,N,N,,Y,,Entry,ID,,,,N,30,,,,,,3,4567,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,I,V,I,V,I,V,I,I,I,I,I,I,?,0,Entry_interview,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Entry interview,4567,n/a,Pointer to '_Entry.ID',Entry interview,4567,n/a,Pointer to '_Entry.ID',?,?
40,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,EntryInterview,SfID,N,Y,,,,,,,,,N,40,,,,,,4,34,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,0,Entry_interview,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,?,?,Entry interview,34,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,Entry interview,34,n/a,An integer value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?
50,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.ID,,,,,,Y,H,H,H,H,H,N,,,,,,ID,INTEGER,NOT NULL,Y,EntryInterview,EntryInterviewID,N,N,,Y,,,,,,,N,50,,,,,,5,1,n/a,An integer value that uniquely identifies the entry interview saveframe for this entry from all other entry interview saveframes present in the entry.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,0,Entry_interview,ID,?,?,?,?,Y,N,int,,?,?,?,Unique value identifying this saveframe of category entry_interview within an entry.,,N,?,Y,Entry interview,1,n/a,An integer value that uniquely identifies the entry interview saveframe for this entry from all other entry interview saveframes present in the entry.,Entry interview,1,n/a,An integer value that uniquely identifies the entry interview saveframe for this entry from all other entry interview saveframes present in the entry.,?,?
60,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.PDB_deposition,,M,,,,Y,H,H,H,H,H,Y,Y,,,,,PDB deposition,VARCHAR(3),,Y,EntryInterview,PDBDeposition,N,N,,,,,,,,,N,60,,,,,,0,yes,PDB deposition,Check this box$ if you are depositing atomic coordinates to be archived at the Protein Data Bank.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,yes,6,Entry_interview,PDB_deposition,?,?,?,?,Y,N,yes_no,,?,?,?,Flag indicating that atomic coordinates are being deposited.,,N,?,?,Entry interview,yes,PDB deposition,Check this box$ if you are depositing atomic coordinates to be archived at the Protein Data Bank.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,Entry interview,yes,PDB deposition,Check this box$ if you are depositing atomic coordinates to be archived at the Protein Data Bank.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,yes,yes
70,entry_interview,Y,R,1,entry_information,8,Entry interview,_Entry_interview.BMRB_deposition,,,,,,Y,H,H,H,H,H,Y,Y,,,,,BMRB deposition,VARCHAR(3),,Y,EntryInterview,BMRBDeposition,N,N,,,,,,,,,N,70,,,,,,0,yes,BMRB deposition,Check this box$ if you are depositing NMR experimental data to be archived at the BioMagResBank.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,yes,6,Entry_interview,BMRB_deposition,?,?,?,?,Y,N,yes_no,,?,?,?,Check this box$ if you are depositing NMR experimental data to be archived at the BioMagResBank.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,,N,?,?,Entry interview,yes,BMRB deposition,Check this box$ if you are depositing NMR experimental data to be archived at the BioMagResBank.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,Entry interview,yes,BMRB deposition,Check this box$ if you are depositing NMR experimental data to be archived at the BioMagResBank.  With this box checked$ after clicking on the 'Save Changes' button$ you will be asked to enter additional information regarding the data submitted. Files containing the data sets should be uploaded by filling out the form found by clicking on the 'Deposit data files' link in the frame on the left of the screen.,yes,yes
