Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,BMRB/CCPN status,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Loopflag,Seq,Dbspace,Example,Prompt,Description
,,H or Y,R T1-T7,,,,,,dash = not in current BMRB,M-Mc-S-Sc-O-SX=AUTO FOR SG-X = AUTO-DEFER,Y/N,Current group,,Y/N,H=Hidden Y=mandatory or N=optional,H Y or N,H Y or N,H Y or N,H Y or N,Y or N,Y N mY or mN,,,,source tag,,,,,,,,,,,,,,,,,,,,?
TBL_BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?
Copyright University of Wisconsin,2,3,4,5,6,7,8,9,10,11,12,13,14,15,View,View,View,View,View,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10,study,N,R,1,entry_information,10, Study,_Study.Sf_category,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,Study,SfCategory,N,N,,Y,,,,,N,10,1,assigned_chemical_shifts,na,Name assigned to a saveframe that describes the primary information content of the saveframe.
20,study,N,R,1,entry_information,10, Study,_Study.Sf_framecode,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,Study,SfFramecode,N,N,,,,,,,N,20,1,citation_one,na,Character string that is unique to the saveframe within the data block defined by a specific entry.  The character string names the saveframe and may be used to reference or to point to the saveframe later in the data block.
30,study,N,R,1,entry_information,10, Study,_Study.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Study,EntryID,N,N,,Y,,EntryInformation,EntryID,,N,30,1,4181,na,BMRB accession number for this entry.  This value is unique across the BMRB database.
40,study,N,R,1,entry_information,10, Study,_Study.Study_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Study ID,CHAR(12),NOT NULL,,Study,StudyID,N,Y,Y,Y,,,,,N,40,1,?,na,?
50,study,N,R,1,entry_information,10, Study,_Study.Name,,O,Y,,open,Y,Y,H,H,H,H,N,,,,,,Name,VARCHAR(127),,,Study,Name,N,N,,,,,,,N,50,1,Investigation of cytochrome b in the molten globule state,Study name,Descriptive name given to a 'study' where a study is a collection of entries containing data for a set of related molecular systems or for a single molecular system but published in more than one citation (i.e.\$ chemical shifts in one publication and atomic coordinates in another\$ and relaxation studies in a third).
60,study,N,R,1,entry_information,10, Study,_Study.Type,,O,Y,,open,Y,Y,H,H,H,H,Y,N,,,,,Type,VARCHAR(127),,,Study,Type,N,N,,,,,,,N,60,1,structure study,Study type,A brief phrase that describes the study that was conducted.  An enumerated list of types will be provided but an author will be able to provide their own description if none of the enumerated values are appropriate.
70,study,N,R,1,entry_information,10, Study,_Study.Details,,O,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,Study,Details,N,N,,,,,,,N,70,1,?,Study description,Additional text information that is relevant to the data in the current saveframe or to a specific data item in the saveframe.  This tag is often used to include information that cannot be associated with a specific tag in the saveframe$ but is important for the entry. The information entered must supplement information already present.  Whenever possible data should associated with specific data tags and not included in the value to a '_Details' tag.
80,study,N,T6,1,entry_information,10, Study keyword,_Study_keyword.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,StudyKeyword,EntryID,N,N,,Y,,EntryInformation,EntryID,,Y,10,1,?,na,?
90,study,N,T6,1,entry_information,10, Study keyword,_Study_keyword.Study_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Study ID,CHAR(12),NOT NULL,,StudyKeyword,StudyID,N,Y,,Y,,Study,StudyID,,Y,20,1,?,na,?
100,study,N,T6,1,entry_information,10, Study keyword,_Study_keyword.Keyword,,O,,,open,Y,N,H,H,H,H,N,,,,,,Keyword,VARCHAR(127),,,StudyKeyword,Keyword,N,N,,Y,,,,,Y,30,1,?,Keyword(s) describing the study,?
110,study,N,T6,1,entry_information,10, Entry,_Entry.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Entry,EntryID,N,N,,Y,,EntryInformation,EntryID,,Y,10,1,?,na,?
120,study,N,T6,1,entry_information,10, Entry,_Entry.Study_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Study ID,CHAR(12),NOT NULL,,Entry,StudyID,N,Y,,Y,,Study,StudyID,,Y,20,1,?,na,?
