Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,internal,sg/public,sg/internal,usr/public,Overide publiM,Overide internal,Overide meta,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type
,,H or Y,R T1-T7,,,,,,dash = not in current BMRB,M-Mc-S-Sc-O-SX=AUTO FOR SG-X = AUTO-DEFER,Y/N,Current group,,Y/N,H=Hidden Y=mandatory or N=optional,H Y or N,H Y or N,H Y or N,H Y or N,Y or N,Y N mY or mN,,,,source tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,?,?,?,?,,valid for insertion in the relational database,valid meta data,public version of SG entry,valid SG entry for insertion in relational data base,,,,,,,,?,?,,?,?,?,?,?,flag,flag,?
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,View,View,View,View,View,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,Validate,Validate,Validate,Validate,Validate,Validate,Overide,Overide,Overide,Overide,Overide,Overide,77,78,79,80,81,82,83,84,85,86,87
TBL_BEGIN,,version,production.3.0.2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,?,?,?,?,,,,,,,,,,,,,?,?,,?,?,?,?,?,?,?,?
10,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,Y,EntryInterview,SfCategory,N,N,,,,,,,,,N,10,,,,,,1,?,n/a,Category definition for the information content of the saveframe,?,?,Y,Y,N,Y,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,0,Entry_interview,Sf_category,?,?,?,?,Y,N,name
20,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,Y,EntryInterview,SfFramecode,N,N,,,,,,,,,N,20,,,,,,2,?,n/a,A code that uniquely identifies the saveframe within the entry.  The code can be a human readable identifier that defines the contents of the saveframe (see the examples).,?,?,Y,Y,Y,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,0,Entry_interview,Sf_framecode,?,?,?,?,Y,N,line
30,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,Y,EntryInterview,EntryID,N,N,,,,Entry,ID,,,,N,30,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,I,V,V,I,V,I,I,V,I,I,V,I,?,0,Entry_interview,Entry_ID,Y,?,?,?,Y,N,code
40,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,EntryInterview,SfID,N,Y,,Y,,,,,,,N,40,,,,,,4,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,V,I,I,V,I,I,V,I,I,V,I,?,0,Entry_interview,Sf_ID,?,?,?,?,Y,N,int
50,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.ID,,,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,Y,EntryInterview,EntryInterviewID,N,N,,,,,,,,,N,50,,,,,,5,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,0,Entry_interview,ID,?,?,?,?,Y,N,line
60,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Assembly_type,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Assembly type,VARCHAR(127),NOT NULL,Y,EntryInterview,AssemblyType,N,N,,,,,,,,,N,60,,,17,,,0,?,Select the type of molecular system that was studied.,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,?,1,Entry_interview,Assembly_type,?,?,?,?,Y,N,uchar3
70,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Ligands,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Ligands,VARCHAR(3),NOT NULL,Y,EntryInterview,Ligands,N,N,,,,,,,,,N,70,,,3,,,0,?,<p align='left'><FONT COLOR='#000000'>Please check the box next to the following statements that are relevant to your deposition.</p></td><td colspan='99'></tr><tr><td><font SIZE=3 COLOR='#900000'><b>The system contains a metal and/or organic ligand,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Ligands,?,?,?,?,Y,N,uchar3
80,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Non_standard_residues,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Non standard residues,VARCHAR(3),NOT NULL,Y,EntryInterview,NonStandardResidues,N,N,,,,,,,,,N,80,,,3,,,0,?,One (or more of the) biopolymers contains a non-standard residue,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Non_standard_residues,?,?,?,?,Y,N,uchar3
90,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Structural_genomics,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Structural genomics,VARCHAR(3),NOT NULL,Y,EntryInterview,StructuralGenomics,N,N,,,,,,,,,N,90,,,18,,,0,?,This submission is from a structural genomics project,?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Structural_genomics,?,?,?,?,Y,N,uchar3
100,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Coordinates,,M,,,,Y,H,Y,Y,Y,Y,Y,Y,,,,,Coordinates,VARCHAR(3),NOT NULL,Y,EntryInterview,Coordinates,N,N,,,,,,,,,N,100,,,19,,,0,?,<p align='left'><FONT COLOR='#000000'>Please check the box next to each kind of data you are depositing at this time.</p></td><td colspan='99'></tr><tr><td><font SIZE=3 COLOR='#900000'><b>Atomic coordinates for PDB,?,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Coordinates,?,?,?,?,Y,N,uchar3
110,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Constraints,,M,,,,Y,H,Y,Y,Y,Y,Y,Y,,,,,Constraints,VARCHAR(3),NOT NULL,Y,EntryInterview,Constraints,N,N,,,,,,,,,N,110,,,20,,,0,?,Structural constraint file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Constraints,?,?,?,?,Y,N,uchar3
120,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Assigned_chem_shifts,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Assigned chem shifts,VARCHAR(3),NOT NULL,Y,EntryInterview,AssignedChemShifts,N,N,,,,,,,,,N,120,,,1,,,0,?,<p align='left'><FONT COLOR='#000000'>Please check the box next to each kind of data you are depositing at this time.</p></td><td colspan='99'></tr><tr><td><font SIZE=3 COLOR='#900000'><b>Assigned NMR chemical shift file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Assigned_chem_shifts,?,?,?,?,Y,N,uchar3
130,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Spectral_peak_lists,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Spectral peak lists,VARCHAR(3),NOT NULL,Y,EntryInterview,SpectralPeakLists,N,N,,,,,,,,,N,130,,,5,,,0,?,Spectral peak file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Spectral_peak_lists,?,?,?,?,Y,N,uchar3
140,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Coupling_constants,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Coupling constants,VARCHAR(3),NOT NULL,Y,EntryInterview,CouplingConstants,N,N,,,,,,,,,N,140,,,4,,,0,?,Coupling constant file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Coupling_constants,?,?,?,?,Y,N,uchar3
150,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Residual_dipolar_couplings,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Residual dipolar couplings,VARCHAR(3),NOT NULL,Y,EntryInterview,ResidualDipolarCouplings,N,N,,,,,,,,,N,150,,,21,,,0,?,Residual dipolar coupling file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Residual_dipolar_couplings,?,?,?,?,Y,N,uchar3
160,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Homonucl_NOEs,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Homonucl NOEs,VARCHAR(3),NOT NULL,Y,EntryInterview,HomonuclNOEs,N,N,,,,,,,,,N,160,,,26,,,0,?,Homonuclear NOE file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Homonucl_NOEs,?,?,?,?,Y,N,uchar3
170,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Heteronucl_NOEs,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Heteronucl NOEs,VARCHAR(3),NOT NULL,Y,EntryInterview,HeteronuclNOEs,N,N,,,,,,,,,N,170,,,14,,,0,?,Heteronuclear NOE file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Heteronucl_NOEs,?,?,?,?,Y,N,uchar3
180,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Heteronucl_T1_relaxation,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Heteronucl T1 relaxation,VARCHAR(3),NOT NULL,Y,EntryInterview,HeteronuclT1Relaxation,N,N,,,,,,,,,N,180,,,12,,,0,?,T1 (R1) NMR relaxation data file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Heteronucl_T1_relaxation,?,?,?,?,Y,N,uchar3
190,entry_interview,N,R,-1,entry_summary,-10,Entry interview,_Entry_interview.Heteronucl_T2_relaxation,,M,,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Heteronucl T2 relaxation,VARCHAR(3),NOT NULL,Y,EntryInterview,HeteronuclT2Relaxation,N,N,,,,,,,,,N,190,,,13,,,0,?,T2 (R2) NMR relaxation data file(s),?,?,?,Y,Y,N,N,N,N,?,?,?,I,V,V,I,V,I,I,V,I,I,V,I,no,6,Entry_interview,Heteronucl_T2_relaxation,?,?,?,?,Y,N,uchar3
